_id,Actors,Awards,Response,Box_office,Metascore,Type,Language,Genre,Country,imdbID,Writer,Rated,Title,imdbVotes,Poster,Runtime,Director,Released,imdbRating
56fbc41171a0650ee4dd53ad,"Jason James Richter, Lori Petty, Jayne Atkinson, August Schellenberg",7 wins & 2 nominations.,True,,79,movie,English,"Adventure, Drama, Family","USA, France",tt0106965,"Keith Walker (story, Keith Walker (screenplay, Corey Blechman (screenplay)",PG,Free Willy,"48,799",http://ia.media-imdb.com/images/M/MV5BMTIwNDc5MzAxNV5BMl5BanBnXkFtZTYwOTE2NDE5._V1_SX300.jpg,112 min,Simon Wincer,16 Jul 1993,5.8
56fbc41171a0650ee4dd53ae,"Tom Hanks, Denzel Washington, Roberta Maxwell, Buzz Kilman",Won 2 Oscars. Another 10 wins & 15 nominations.,True,,66,movie,English,Drama,USA,tt0107818,Ron Nyswaner,PG-13,Philadelphia,"174,061",http://ia.media-imdb.com/images/M/MV5BMjI3NjEwODYyMF5BMl5BanBnXkFtZTgwMzg3ODYxMTE@._V1_SX300.jpg,125 min,Jonathan Demme,14 Jan 1994,7.7
56fbc41171a0650ee4dd53af,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky",Won 1 BAFTA Film Award. Another 5 wins & 8 nominations.,True,"70,906,973",72,movie,"English, French, Italian","Comedy, Fantasy, Romance",USA,tt0107048,"Danny Rubin (screenplay, Harold Ramis (screenplay, Danny Rubin (story)",PG,Groundhog Day,"418,699",http://ia.media-imdb.com/images/M/MV5BMTU0MzQyNTExMV5BMl5BanBnXkFtZTgwMjA0Njk1MDE@._V1_SX300.jpg,101 min,Harold Ramis,12 Feb 1993,8.1
56fbc41171a0650ee4dd53b0,"Jack Lemmon, Walter Matthau, Ann-Margret, Burgess Meredith",1 win.,True,,53,movie,English,"Comedy, Drama, Romance",USA,tt0107050,Mark Steven Johnson,PG-13,Grumpy Old Men,"33,823",http://ia.media-imdb.com/images/M/MV5BMTI5NzA4MzcyMV5BMl5BanBnXkFtZTcwMzQ2MDYyMQ@@._V1_SX300.jpg,103 min,Donald Petrie,25 Dec 1993,6.9
56fbc41171a0650ee4dd53b1,"Leon, Doug E. Doug, Rawle D. Lewis, Malik Yoba",2 wins & 2 nominations.,True,,N/A,movie,"English, German, Russian","Adventure, Comedy, Family",USA,tt0106611,"Lynn Siefert (story, Michael Ritchie (story, Lynn Siefert (screenplay, Tommy Swerdlow (screenplay, Michael Goldberg (screenplay)",PG,Cool Runnings,"67,710",http://ia.media-imdb.com/images/M/MV5BMjMxMTQ3MzMwMV5BMl5BanBnXkFtZTgwNTYxNzYxMTE@._V1_SX300.jpg,98 min,Jon Turteltaub,01 Oct 1993,6.9
56fbc41171a0650ee4dd53b2,"Kevin Kline, Sigourney Weaver, Frank Langella, Kevin Dunn",Nominated for 1 Oscar. Another 2 wins & 4 nominations.,True,,N/A,movie,"English, Spanish","Comedy, Romance",USA,tt0106673,Gary Ross,PG-13,Dave,"40,092",http://ia.media-imdb.com/images/M/MV5BMTIxNzEzODY5MV5BMl5BanBnXkFtZTYwODQzMTc4._V1_SX300.jpg,110 min,Ivan Reitman,07 May 1993,6.8
56fbc41171a0650ee4dd53b3,"Sean Connery, Wesley Snipes, Harvey Keitel, Cary-Hiroyuki Tagawa",1 win & 1 nomination.,True,,N/A,movie,"English, Japanese","Action, Crime, Drama",USA,tt0107969,"Michael Crichton (novel, Philip Kaufman (screenplay, Michael Crichton (screenplay, Michael Backes (screenplay)",R,Rising Sun,"34,019",http://ia.media-imdb.com/images/M/MV5BMjAyNjc0MTE5NV5BMl5BanBnXkFtZTcwODY4MTU1MQ@@._V1_SX300.jpg,129 min,Philip Kaufman,30 Jul 1993,6.2
56fbc41171a0650ee4dd53b4,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne",1 win & 5 nominations.,True,,34,movie,English,"Action, Crime, Sci-Fi",USA,tt0106697,"Peter M. Lenkov (story, Robert Reneau (story, Daniel Waters (screenplay, Robert Reneau (screenplay, Peter M. Lenkov (screenplay)",R,Demolition Man,"120,427",http://ia.media-imdb.com/images/M/MV5BMTY2MDE1NjQ3MF5BMl5BanBnXkFtZTYwMjI0OTg4._V1_SX300.jpg,115 min,Marco Brambilla,08 Oct 1993,6.6
56fbc41171a0650ee4dd53b5,"Whoopi Goldberg, Kathy Najimy, Barnard Hughes, Mary Wickes",1 win & 2 nominations.,True,,N/A,movie,English,"Comedy, Music",USA,tt0108147,"Joseph Howard (characters, James Orr, Jim Cruickshank, Judi Ann Mason",PG,Sister Act 2: Back in the Habit,"34,993",http://ia.media-imdb.com/images/M/MV5BMTk0NjM3MzgyMV5BMl5BanBnXkFtZTYwOTM3Mzk4._V1_SX300.jpg,107 min,Bill Duke,10 Dec 1993,5.3
56fbc41171a0650ee4dd53b6,"Kurt Russell, Val Kilmer, Sam Elliott, Bill Paxton",2 nominations.,True,,N/A,movie,"English, Latin","Action, Biography, Drama",USA,tt0108358,Kevin Jarre,R,Tombstone,"92,359",http://ia.media-imdb.com/images/M/MV5BMTQ3NzYwMjAyNV5BMl5BanBnXkFtZTgwMjk0NzQxMTE@._V1_SX300.jpg,130 min,"George P. Cosmatos, Kevin Jarre",25 Dec 1993,7.8
56fbc41171a0650ee4dd53b7,"Thomas Ian Nicholas, Gary Busey, Albert Hall, Amy Morton",1 win & 1 nomination.,True,"53,579,269",N/A,movie,English,"Comedy, Family, Fantasy",USA,tt0107985,Sam Harper,PG,Rookie of the Year,"17,316",http://ia.media-imdb.com/images/M/MV5BODE3MzQzNDIyOF5BMl5BanBnXkFtZTcwMzI3MDU1MQ@@._V1_SX300.jpg,103 min,Daniel Stern,07 Jul 1993,5.9
56fbc41171a0650ee4dd53b8,"Charles Grodin, Bonnie Hunt, Nicholle Tom, Christopher Castile",Nominated for 1 Oscar. Another 4 nominations.,True,,N/A,movie,English,"Comedy, Family, Romance",USA,tt0106375,"John Hughes (characters, Amy Holden Jones (characters, Len Blum",PG,Beethoven's 2nd,"18,528",http://ia.media-imdb.com/images/M/MV5BMTkyNjEyNzA4Nl5BMl5BanBnXkFtZTcwOTQ1NDkyMQ@@._V1_SX300.jpg,89 min,Rod Daniel,17 Dec 1993,4.7
56fbc41171a0650ee4dd53b9,"Walter Matthau, Mason Gamble, Joan Plowright, Christopher Lloyd",3 wins & 3 nominations.,True,,N/A,movie,English,"Comedy, Family",USA,tt0106701,"Hank Ketcham (characters, John Hughes",PG,Dennis the Menace,"42,927",http://ia.media-imdb.com/images/M/MV5BMTMyNTQ2ODA2M15BMl5BanBnXkFtZTcwNTA2MzIyMQ@@._V1_SX300.jpg,94 min,Nick Castle,25 Jun 1993,5.5
56fbc41171a0650ee4dd53ba,"Richard Gere, Jodie Foster, Lanny Flaherty, Wendell Wellman",2 wins.,True,"50,081,992",N/A,movie,English,"Drama, Mystery, Romance","France, USA",tt0108185,"Daniel Vigne (film The Return of Martin Guerre, Jean-Claude Carrière (film The Return of Martin Guerre, Nicholas Meyer (story, Anthony Shaffer (story, Nicholas Meyer (screenplay, Sarah Kernochan (screenplay)",PG-13,Sommersby,"15,094",http://ia.media-imdb.com/images/M/MV5BMTQ0MDA1MzU2NF5BMl5BanBnXkFtZTcwNjM3ODAwMQ@@._V1_SX300.jpg,114 min,Jon Amiel,05 Feb 1993,6.1
56fbc41171a0650ee4dd53bb,"Arnold Schwarzenegger, F. Murray Abraham, Art Carney, Charles Dance",1 win & 16 nominations.,True,,44,movie,English,"Action, Adventure, Comedy",USA,tt0107362,"Zak Penn (story, Adam Leff (story, Shane Black (screenplay, David Arnott (screenplay)",PG-13,Last Action Hero,"103,160",http://ia.media-imdb.com/images/M/MV5BNDg4OTg5MTc0NV5BMl5BanBnXkFtZTcwOTUxMzgxMQ@@._V1_SX300.jpg,130 min,John McTiernan,18 Jun 1993,6.2
56fbc41171a0650ee4dd53bc,"Tim Burton, Henry Selick, Kathleen Gavin, Danny Elfman",N/A,True,,N/A,movie,English,"Documentary, Short",USA,tt1028555,N/A,N/A,The Making of Tim Burton's 'The Nightmare Before Christmas',32,N/A,25 min,N/A,15 Oct 2003,8.0
56fbc41171a0650ee4dd53bd,"Anjelica Huston, Raul Julia, Christopher Lloyd, Joan Cusack",Nominated for 1 Oscar. Another 3 wins & 9 nominations.,True,,N/A,movie,English,"Comedy, Fantasy",USA,tt0106220,"Charles Addams (characters, Paul Rudnick",PG-13,Addams Family Values,"55,466",http://ia.media-imdb.com/images/M/MV5BMTIwMTQ4MDA0MV5BMl5BanBnXkFtZTcwMDg3NTEyMQ@@._V1_SX300.jpg,94 min,Barry Sonnenfeld,19 Nov 1993,6.6
56fbc41171a0650ee4dd53be,"Mike Myers, Dana Carvey, Christopher Walken, Tia Carrere",3 nominations.,True,,N/A,movie,"English, Cantonese","Comedy, Music",USA,tt0108525,"Mike Myers (characters, Mike Myers, Bonnie Turner, Terry Turner",PG-13,Wayne's World 2,"60,920",http://ia.media-imdb.com/images/M/MV5BMTc1MTYxNTAzMF5BMl5BanBnXkFtZTYwMDAwMzk4._V1_SX300.jpg,95 min,Stephen Surjik,10 Dec 1993,6.1
56fbc41171a0650ee4dd53bf,"Alec Baldwin, Nicole Kidman, Bill Pullman, Bebe Neuwirth",2 wins.,True,,N/A,movie,English,"Crime, Mystery, Thriller","Canada, USA",tt0107497,"Aaron Sorkin (story, Jonas McCord (story, Aaron Sorkin (screenplay, Scott Frank (screenplay)",R,Malice,"17,734",http://ia.media-imdb.com/images/M/MV5BODE1NTQwOTI5Ml5BMl5BanBnXkFtZTcwOTc4NzQyMQ@@._V1_SX300.jpg,107 min,Harold Becker,01 Oct 1993,6.4
56fbc41171a0650ee4dd53c0,"Whoopi Goldberg, Ted Danson, Will Smith, Nia Long",1 win & 1 nomination.,True,,N/A,movie,English,Comedy,"USA, France",tt0107478,"Marcia Brandwynne (story, Nadine Schiff (story, Holly Goldberg Sloan (story, Holly Goldberg Sloan (screenplay)",PG-13,Made in America,"11,738",http://ia.media-imdb.com/images/M/MV5BMTY0MzQ0NzYwNF5BMl5BanBnXkFtZTcwMDUxOTMyMQ@@._V1_SX300.jpg,111 min,Richard Benjamin,28 May 1993,4.9
56fbc41171a0650ee4dd53c1,"Macaulay Culkin, Elijah Wood, Wendy Crewson, David Morse",1 win & 2 nominations.,True,"44,594,000",N/A,movie,English,"Drama, Thriller",USA,tt0107034,Ian McEwan,R,The Good Son,"27,570",http://ia.media-imdb.com/images/M/MV5BMTU2NjYzMDQ0Nl5BMl5BanBnXkFtZTcwMDU2OTQyMQ@@._V1_SX300.jpg,87 min,Joseph Ruben,24 Sep 1993,6.4
56fbc41171a0650ee4dd53c2,"Jim Varney, Diedrich Bader, Erika Eleniak, Cloris Leachman",1 win.,True,,N/A,movie,English,"Comedy, Family",USA,tt0106400,"Paul Henning (television series, Lawrence Konner (story, Mark Rosenthal (story, Lawrence Konner (screenplay, Mark Rosenthal (screenplay, Jim Fisher (screenplay, Jim Staahl (screenplay)",PG,The Beverly Hillbillies,"14,120",http://ia.media-imdb.com/images/M/MV5BNDI0MjA4NzQwMF5BMl5BanBnXkFtZTcwODY4MTcyMQ@@._V1_SX300.jpg,92 min,Penelope Spheeris,15 Oct 1993,4.8
56fbc41171a0650ee4dd53c3,"Elias Koteas, Paige Turco, Stuart Wilson, Sab Shimono",1 win.,True,,N/A,movie,English,"Action, Adventure, Comedy","USA, Hong Kong",tt0108308,"Kevin Eastman (based on characters created by, Peter Laird (based on characters created by, Stuart Gillard",PG,Teenage Mutant Ninja Turtles III,"24,110",http://ia.media-imdb.com/images/M/MV5BMTA0NjU1OTE4MTJeQTJeQWpwZ15BbWU3MDc1OTEzMjE@._V1_SX300.jpg,96 min,Stuart Gillard,19 Mar 1993,4.8
56fbc41171a0650ee4dd53c4,"Don Alder, Ed Bernard, Kevin Chevalia, Anne Christianson",N/A,True,"41,833,324",N/A,movie,English,"Adventure, Comedy, Drama",USA,tt0107131,"Sheila Burnford (novel, Caroline Thompson (screenplay, Linda Woolverton (screenplay)",G,Homeward Bound: The Incredible Journey,"32,177",http://ia.media-imdb.com/images/M/MV5BMjAyNTE4NDU2Nl5BMl5BanBnXkFtZTcwNTgyNjQyMQ@@._V1_SX300.jpg,84 min,Duwayne Dunham,12 Feb 1993,6.9
56fbc41171a0650ee4dd53c5,"Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin",1 win & 2 nominations.,True,"40,903,593",56,movie,"English, Spanish, Korean","Crime, Drama, Thriller","France, USA, UK",tt0106856,Ebbe Roe Smith,R,Falling Down,"132,514",http://ia.media-imdb.com/images/M/MV5BMjA2NTY0MTIyNF5BMl5BanBnXkFtZTYwMTAwMjQ5._V1_SX300.jpg,113 min,Joel Schumacher,26 Feb 1993,7.6
56fbc41171a0650ee4dd53c6,"Holly Hunter, Harvey Keitel, Sam Neill, Anna Paquin",Won 3 Oscars. Another 56 wins & 42 nominations.,True,,89,movie,"English, British Sign Language, Maori","Drama, Music, Romance","New Zealand, Australia, France",tt0107822,Jane Campion,R,The Piano,"62,533",http://ia.media-imdb.com/images/M/MV5BMTAyOTA0MzQ5NTReQTJeQWpwZ15BbWU3MDQ4NDkwMjE@._V1_SX300.jpg,121 min,Jane Campion,11 Feb 1994,7.6
56fbc41171a0650ee4dd53c7,"Bette Midler, Sarah Jessica Parker, Kathy Najimy, Omri Katz",2 wins & 9 nominations.,True,,N/A,movie,English,"Comedy, Family, Fantasy",USA,tt0107120,"David Kirschner (story, Mick Garris (story, Mick Garris (screenplay, Neil Cuthbert (screenplay)",PG,Hocus Pocus,"58,822",http://ia.media-imdb.com/images/M/MV5BMTI3MDI2NDc3Ml5BMl5BanBnXkFtZTcwNDQ2MzQyMQ@@._V1_SX300.jpg,96 min,Kenny Ortega,16 Jul 1993,6.7
56fbc41171a0650ee4dd53c8,"Rae'Ven Larrymore Kelly, Virginia Capers, Dororthy Thorton, Demetrice Cheathon",Nominated for 2 Oscars. Another 3 wins & 11 nominations.,True,,N/A,movie,English,"Biography, Drama, Music",USA,tt0108551,"Tina Turner (book, Kurt Loder (book, Kate Lanier (screenplay)",R,What's Love Got to Do with It,"13,122",http://ia.media-imdb.com/images/M/MV5BMTM3MTYzNDIwNV5BMl5BanBnXkFtZTYwMTU3NTk4._V1_SX300.jpg,118 min,Brian Gibson,25 Jun 1993,7.2
56fbc41171a0650ee4dd53c9,"Charlie Sheen, Lloyd Bridges, Valeria Golino, Richard Crenna",1 win.,True,,N/A,movie,English,"Action, Comedy",USA,tt0107144,"Jim Abrahams (characters, Pat Proft (characters, Jim Abrahams, Pat Proft",PG-13,Hot Shots! Part Deux,"65,134",http://ia.media-imdb.com/images/M/MV5BMTQyMDM5MTUyNl5BMl5BanBnXkFtZTcwOTYzOTUyMQ@@._V1_SX300.jpg,86 min,Jim Abrahams,21 May 1993,6.6
56fbc41171a0650ee4dd53ca,"Al Pacino, Sean Penn, Penelope Ann Miller, John Leguizamo",Nominated for 2 Golden Globes. Another 1 win & 2 nominations.,True,,N/A,movie,"English, Spanish","Crime, Drama",USA,tt0106519,"Edwin Torres (novels, David Koepp (screenplay)",R,Carlito's Way,"159,458",http://ia.media-imdb.com/images/M/MV5BMjA2NDA0NTQ1M15BMl5BanBnXkFtZTgwODA5MDgxMTE@._V1_SX300.jpg,144 min,Brian De Palma,12 Nov 1993,7.9
56fbc41171a0650ee4dd53cb,"Ethan Hawke, Vincent Spano, Josh Hamilton, Bruce Ramsay",Nominated for 1 Primetime Emmy. Another 1 win & 1 nomination.,True,"36,733,909",N/A,movie,English,"Adventure, Biography, Drama","USA, Canada",tt0106246,"Piers Paul Read (book, John Patrick Shanley (screenplay)",R,Alive,"37,938",http://ia.media-imdb.com/images/M/MV5BMTU4MTc2ODMyNl5BMl5BanBnXkFtZTcwMDYxNDYxMQ@@._V1_SX300.jpg,120 min,Frank Marshall,15 Jan 1993,7.0
56fbc41171a0650ee4dd53cc,"Pauly Shore, Carla Gugino, Lane Smith, Cindy Pickett",1 nomination.,True,"36,448,200",N/A,movie,English,"Comedy, Drama, Romance",USA,tt0108186,"Patrick J. Clifton (story, Susan McMartin (story, Peter M. Lenkov (story, Fax Bahr (screenplay, Adam Small (screenplay, Shawn Schepps (screenplay)",PG-13,Son in Law,"12,716",http://ia.media-imdb.com/images/M/MV5BMTUxNDkyODMwN15BMl5BanBnXkFtZTYwODA3NjU5._V1_SX300.jpg,95 min,Steve Rash,02 Jul 1993,5.6
56fbc41171a0650ee4dd53cd,"Sharon Stone, William Baldwin, Tom Berenger, Polly Walker",3 wins & 9 nominations.,True,,N/A,movie,English,"Drama, Thriller",USA,tt0108162,"Ira Levin (novel, Joe Eszterhas (screenplay)",R,Sliver,"22,262",http://ia.media-imdb.com/images/M/MV5BMTI1MDUxNDk3MV5BMl5BanBnXkFtZTcwNDQ2NDQzMQ@@._V1_SX300.jpg,107 min,Phillip Noyce,21 May 1993,4.9
56fbc41171a0650ee4dd53ce,"Cary Elwes, Richard Lewis, Roger Rees, Amy Yasbeck",1 nomination.,True,,N/A,movie,English,"Adventure, Comedy, Musical","France, USA",tt0107977,"J.D. Shapiro (story, Evan Chandler (story, Mel Brooks (screenplay, Evan Chandler (screenplay, J.D. Shapiro (screenplay)",PG-13,Robin Hood: Men in Tights,"88,523",http://ia.media-imdb.com/images/M/MV5BMTA2OTYyODU3MDheQTJeQWpwZ15BbWU3MDA5MjIwNDE@._V1_SX300.jpg,104 min,Mel Brooks,28 Jul 1993,6.7
56fbc41171a0650ee4dd53cf,"Jason Scott Lee, Lauren Holly, Robert Wagner, Michael Learned",1 win & 3 nominations.,True,,N/A,movie,"English, Cantonese","Action, Biography, Drama",USA,tt0106770,"Robert Clouse (book, Linda Lee Cadwell (book, Edward Khmara (screenplay, John Raffo (screenplay, Rob Cohen (screenplay)",PG-13,Dragon: The Bruce Lee Story,"21,351",http://ia.media-imdb.com/images/M/MV5BMTczMTQ5NzI3Ml5BMl5BanBnXkFtZTcwNjY4NTYxMQ@@._V1_SX300.jpg,120 min,Rob Cohen,07 May 1993,7.0
56fbc41171a0650ee4dd53d0,"Kieu Chinh, Tsai Chin, France Nuyen, Lisa Lu",Nominated for 1 BAFTA Film Award. Another 3 wins & 4 nominations.,True,"32,861,136",84,movie,"English, Mandarin, Cantonese",Drama,"USA, China",tt0107282,"Amy Tan (novel, Amy Tan (screenplay, Ronald Bass (screenplay)",R,The Joy Luck Club,"12,372",http://ia.media-imdb.com/images/M/MV5BMTI4Mjg1OTY1OV5BMl5BanBnXkFtZTcwMDU4ODUyMQ@@._V1_SX300.jpg,139 min,Wayne Wang,29 Oct 1993,7.6
56fbc41171a0650ee4dd53d1,"Chuck Pfarrer, Robert Apisa, Arnold Vosloo, Lance Henriksen",1 win & 5 nominations.,True,"32,534,954",N/A,movie,English,"Action, Thriller",USA,tt0107076,Chuck Pfarrer,R,Hard Target,"33,727",http://ia.media-imdb.com/images/M/MV5BODQxMzY3MTY0MF5BMl5BanBnXkFtZTcwNTg2MDgxMQ@@._V1_SX300.jpg,97 min,John Woo,20 Aug 1993,6.1
56fbc41171a0650ee4dd53d2,"Tom Guiry, Mike Vitar, Patrick Renna, Chauncey Leopardi",1 win.,True,"32,416,586",N/A,movie,English,"Comedy, Drama, Family",USA,tt0108037,"David M. Evans, Robert Gunter",PG,The Sandlot,"54,869",http://ia.media-imdb.com/images/M/MV5BMTgyODA5MzQ1MF5BMl5BanBnXkFtZTgwMzYxNzYxMTE@._V1_SX300.jpg,101 min,David M. Evans,07 Apr 1993,7.8
56fbc41171a0650ee4dd53d3,"Daniel Day-Lewis, Michelle Pfeiffer, Winona Ryder, Linda Faye Farkas",Won 1 Oscar. Another 12 wins & 26 nominations.,True,"32,000,000",83,movie,"English, Italian","Drama, Romance",USA,tt0106226,"Edith Wharton (novel, Jay Cocks (screenplay, Martin Scorsese (screenplay)",PG,The Age of Innocence,"35,348",http://ia.media-imdb.com/images/M/MV5BMTQ5NTQ4NjkyMF5BMl5BanBnXkFtZTYwNzM5MDg4._V1_SX300.jpg,139 min,Martin Scorsese,01 Oct 1993,7.2
56fbc41171a0650ee4dd53d4,"Kate Maberly, Heydon Prowse, Andrew Knott, Maggie Smith",Nominated for 1 BAFTA Film Award. Another 3 wins & 5 nominations.,True,,N/A,movie,English,"Drama, Family, Fantasy",USA,tt0108071,"Frances Hodgson Burnett (book, Caroline Thompson (screenplay)",G,The Secret Garden,"27,267",http://ia.media-imdb.com/images/M/MV5BNzEyNTc0NjE0MF5BMl5BanBnXkFtZTcwNTUzNzYxMQ@@._V1_SX300.jpg,101 min,Agnieszka Holland,13 Aug 1993,7.3
56fbc41171a0650ee4dd53d5,"Kevin Costner, Clint Eastwood, Laura Dern, T.J. Lowther",N/A,True,,N/A,movie,English,"Crime, Drama, Thriller",USA,tt0107808,John Lee Hancock,PG-13,A Perfect World,"56,114",http://ia.media-imdb.com/images/M/MV5BMjAxMDExODExOV5BMl5BanBnXkFtZTcwMTI3MTcxMQ@@._V1_SX300.jpg,138 min,Clint Eastwood,24 Nov 1993,7.5
56fbc41171a0650ee4dd53d6,"Bridget Fonda, Gabriel Byrne, Dermot Mulroney, Miguel Ferrer",N/A,True,,N/A,movie,"English, French","Action, Crime, Drama",USA,tt0107843,"Luc Besson (film La Femme Nikita, Robert Getchell (screenplay, Alexandra Seros (screenplay)",R,Point of No Return,"19,804",http://ia.media-imdb.com/images/M/MV5BMTMwMDgzNDcwNV5BMl5BanBnXkFtZTcwNDQyODEyMQ@@._V1_SX300.jpg,109 min,John Badham,19 Mar 1993,5.9
56fbc41171a0650ee4dd53d7,"Emilio Estevez, Samuel L. Jackson, Jon Lovitz, Tim Curry",N/A,True,"27,979,400",N/A,movie,English,"Action, Comedy, Crime",USA,tt0107659,"Don Holley (story, Tori Tellem (story, Don Holley (screenplay, Gene Quintano (screenplay)",PG-13,Loaded Weapon 1,"36,868",http://ia.media-imdb.com/images/M/MV5BMTQ3ODIzOTcyOV5BMl5BanBnXkFtZTcwMzA2ODYyMQ@@._V1_SX300.jpg,84 min,Gene Quintano,05 Feb 1993,6.1
