_id,Writer,Box_office,Awards,Director,Poster,Rated,Actors,Language,Type,Runtime,imdbRating,Released,Genre,Title,Metascore,Response,imdbID,imdbVotes,Country
56fbd17971a06517ccaa7a5d,"Andrew Neiderman (novel, Jonathan Lemkin (screenplay, Tony Gilroy (screenplay)",,1 win & 5 nominations.,Taylor Hackford,http://ia.media-imdb.com/images/M/MV5BMTcyMzI3NDM4Nl5BMl5BanBnXkFtZTcwMTUxOTYzNA@@._V1_SX300.jpg,R,"Keanu Reeves, Al Pacino, Charlize Theron, Jeffrey Jones","English, German, Italian, Mandarin, Spanish",movie,144 min,7.5,17 Oct 1997,"Drama, Mystery, Thriller",The Devil's Advocate,60,True,tt0118971,"252,394","USA, Germany"
56fbd17971a06517ccaa7a5e,"James Patterson (novel, David Klass (screenplay)",,5 nominations.,Gary Fleder,http://ia.media-imdb.com/images/M/MV5BMTc4MTkwNzI5M15BMl5BanBnXkFtZTYwNjk5NjU5._V1_SX300.jpg,R,"Morgan Freeman, Ashley Judd, Cary Elwes, Alex McArthur","English, Mandarin",movie,115 min,6.6,03 Oct 1997,"Crime, Drama, Mystery",Kiss the Girls,46,True,tt0119468,"48,606",USA
56fbd17971a06517ccaa7a5f,"Hervé Palud (earlier screenplay Un indien dans la ville, Thierry Lhermitte (earlier screenplay Un indien dans la ville, Jean-Marie Pallardy (earlier screenplay Un indien dans la ville, Philippe Bruneau (earlier screenplay Un indien dans la ville, Bruce A. Evans (screenplay, Raynold Gideon (screenplay)","59,925,026",3 nominations.,John Pasquin,http://ia.media-imdb.com/images/M/MV5BMTU0NDk2ODUzMl5BMl5BanBnXkFtZTcwMTc1NjkyMQ@@._V1_SX300.jpg,PG,"Tim Allen, Martin Short, JoBeth Williams, Lolita Davidovich",English,movie,105 min,5.0,07 Mar 1997,"Comedy, Family",Jungle 2 Jungle,N/A,True,tt0119432,"17,564","USA, France"
56fbd17971a06517ccaa7a60,"Susan Gauthier (screenplay, Bruce Graham (screenplay, Bob Tzudiker (screenplay, Noni White (screenplay, Eric Tuchman (animation adaptation)",,Nominated for 2 Oscars. Another 9 wins & 21 nominations.,"Don Bluth, Gary Goldman",http://ia.media-imdb.com/images/M/MV5BMTYwNTA4NzY1N15BMl5BanBnXkFtZTYwODE1NzM5._V1_SX300.jpg,G,"Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd","English, Russian, French",movie,94 min,7.1,21 Nov 1997,"Animation, Adventure, Drama",Anastasia,59,True,tt0118617,"83,074",USA
56fbd17971a06517ccaa7a61,"Kenneth Ross (earlier screenplay Day of the Jackal, Chuck Pfarrer (screen story, Chuck Pfarrer (screenplay)",,1 win & 3 nominations.,Michael Caton-Jones,http://ia.media-imdb.com/images/M/MV5BMzcyMjk4NzUzMF5BMl5BanBnXkFtZTcwNjMzOTI1MQ@@._V1_SX300.jpg,R,"Bruce Willis, Richard Gere, Sidney Poitier, Diane Venora","English, Russian",movie,124 min,6.3,14 Nov 1997,"Action, Adventure, Crime",The Jackal,36,True,tt0119395,"86,415","USA, UK, France, Germany, Japan"
56fbd17971a06517ccaa7a62,"Todd McFarlane (comic book, Alan B. McElroy (screen story, Mark A.Z. Dippé (screen story, Alan B. McElroy (screenplay)","54,967,359",1 win & 5 nominations.,Mark A.Z. Dippé,"http://ia.media-imdb.com/images/M/MV5BMTI3MDc1ODE5NV5BMl5BanBnXkFtZTcwNzk2NzAzMQ@@._V1._CR0,23,262,449_SX89_AL_.jpg_V1_SX300.jpg",R,"Michael Jai White, John Leguizamo, Martin Sheen, Theresa Randle",English,movie,96 min,5.2,01 Aug 1997,"Action, Horror",Spawn,34,True,tt0120177,"51,646",USA
56fbd17971a06517ccaa7a63,"Edward Neumeier (screenplay, Robert A. Heinlein (book)",,Nominated for 1 Oscar. Another 2 wins & 14 nominations.,Paul Verhoeven,http://ia.media-imdb.com/images/M/MV5BOTE3MDAyNTM4OF5BMl5BanBnXkFtZTcwMTcxNDI4OA@@._V1_SX300.jpg,R,"Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey",English,movie,129 min,7.2,07 Nov 1997,"Action, Sci-Fi",Starship Troopers,51,True,tt0120201,"216,234",USA
56fbd17971a06517ccaa7a64,Mike Myers,"53,868,030",3 wins & 6 nominations.,Jay Roach,http://ia.media-imdb.com/images/M/MV5BOTY3NTI0MDM2MV5BMl5BanBnXkFtZTgwOTc0NzQxMTE@._V1_SX300.jpg,PG-13,"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers",English,movie,89 min,7.0,02 May 1997,"Comedy, Sci-Fi",Austin Powers: International Man of Mystery,51,True,tt0118655,"178,189","USA, Germany"
56fbd17971a06517ccaa7a65,"Jonathan Mostow (story, Jonathan Mostow (screenplay, Sam Montgomery (screenplay)",,1 win & 2 nominations.,Jonathan Mostow,http://ia.media-imdb.com/images/M/MV5BNzIxMjk0OTQxMV5BMl5BanBnXkFtZTYwNzg2Mjc4._V1_SX300.jpg,R,"Kurt Russell, J.T. Walsh, Kathleen Quinlan, M.C. Gainey",English,movie,93 min,6.9,02 May 1997,"Action, Crime, Drama",Breakdown,73,True,tt0118771,"37,416",USA
56fbd17971a06517ccaa7a66,"David Baldacci (book, William Goldman (screenplay)","50,007,168",1 nomination.,Clint Eastwood,http://ia.media-imdb.com/images/M/MV5BMjA0NTYxMzY2NF5BMl5BanBnXkFtZTcwNTg5NjIyMQ@@._V1_SX300.jpg,R,"Clint Eastwood, Gene Hackman, Ed Harris, Laura Linney","English, Spanish",movie,121 min,6.7,14 Feb 1997,"Action, Crime, Drama",Absolute Power,52,True,tt0118548,"38,622",USA
56fbd17971a06517ccaa7a67,"Jerome Armstrong (story, Jerome Armstrong (screenplay, Billy Ray (screenplay)","47,474,112",1 win & 1 nomination.,Mick Jackson,http://ia.media-imdb.com/images/M/MV5BMTc1ODAxMTk5NV5BMl5BanBnXkFtZTYwNjU2ODA5._V1_SX300.jpg,PG-13,"Tommy Lee Jones, Anne Heche, Gaby Hoffmann, Don Cheadle","English, Spanish, German",movie,104 min,5.4,25 Apr 1997,"Action, Drama, Sci-Fi",Volcano,55,True,tt0120461,"56,732",USA
56fbd17971a06517ccaa7a68,"Graham Yost (characters, Jan de Bont (story, Randall McCormick (story, Randall McCormick (screenplay, Jeff Nathanson (screenplay)","48,068,396",1 win & 7 nominations.,Jan de Bont,http://ia.media-imdb.com/images/M/MV5BMTg5OTAzMDA4Ml5BMl5BanBnXkFtZTcwMTM1MzE1MQ@@._V1_SX300.jpg,PG-13,"Sandra Bullock, Jason Patric, Willem Dafoe, Temuera Morrison","English, American Sign Language, Portuguese",movie,121 min,3.7,13 Jun 1997,"Action, Crime, Romance",Speed 2: Cruise Control,23,True,tt0120179,"59,096",USA
56fbd17971a06517ccaa7a69,"John D. Brancato, Michael Ferris",,1 nomination.,David Fincher,http://ia.media-imdb.com/images/M/MV5BMTkwMDkwNDIxNl5BMl5BanBnXkFtZTgwNzg0NzQxMTE@._V1_SX300.jpg,R,"Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn","English, Cantonese, German",movie,129 min,7.8,12 Sep 1997,"Drama, Mystery, Thriller",The Game,61,True,tt0119174,"252,411",USA
56fbd17971a06517ccaa7a6a,"Danielle Alexandra (story, David Twohy (screenplay, Danielle Alexandra (screenplay)",,1 win & 2 nominations.,Ridley Scott,http://ia.media-imdb.com/images/M/MV5BMTUxNDY0ODY5MV5BMl5BanBnXkFtZTcwNjM5MzkxMQ@@._V1_SX300.jpg,R,"Demi Moore, Viggo Mortensen, Anne Bancroft, Jason Beghe",English,movie,125 min,5.8,22 Aug 1997,"Action, Drama, War",G.I. Jane,62,True,tt0119173,"59,167","USA, UK"
56fbd17971a06517ccaa7a6b,"Dan O'Bannon (characters, Ronald Shusett (characters, Joss Whedon","47,748,610",5 wins & 16 nominations.,Jean-Pierre Jeunet,http://ia.media-imdb.com/images/M/MV5BMTc2MDIyMjc3N15BMl5BanBnXkFtZTcwNzQzODAwMQ@@._V1_SX300.jpg,R,"Sigourney Weaver, Winona Ryder, Dominique Pinon, Ron Perlman",English,movie,109 min,6.3,26 Nov 1997,"Action, Horror, Sci-Fi",Alien: Resurrection,63,True,tt0118583,"163,767",USA
56fbd17971a06517ccaa7a6c,Simon Beaufoy,"45,857,453",Won 1 Oscar. Another 35 wins & 30 nominations.,Peter Cattaneo,http://ia.media-imdb.com/images/M/MV5BMTg2NDM5NTQzM15BMl5BanBnXkFtZTcwMzg0OTMyMQ@@._V1_SX300.jpg,R,"Robert Carlyle, Mark Addy, William Snape, Steve Huison",English,movie,91 min,7.2,19 Sep 1997,"Comedy, Drama, Music",The Full Monty,75,True,tt0119164,"80,237","UK, USA"
56fbd17971a06517ccaa7a6d,Rowan Atkinson (character \,"45,298,656",2 wins.,Mel Smith,http://ia.media-imdb.com/images/M/MV5BNjE2NTkzNjg1NV5BMl5BanBnXkFtZTgwNjEyNjQxMTE@._V1_SX300.jpg,PG-13,"Rowan Atkinson, Peter MacNicol, John Mills, Pamela Reed",English,movie,89 min,6.3,07 Nov 1997,"Comedy, Family",Bean,52,True,tt0118689,"72,939","UK, USA"
56fbd17971a06517ccaa7a6e,James Mangold,,1 win.,James Mangold,http://ia.media-imdb.com/images/M/MV5BMjIxNTU4MzE0MV5BMl5BanBnXkFtZTcwNjE2MzU5Ng@@._V1_SX300.jpg,R,"Sylvester Stallone, Harvey Keitel, Ray Liotta, Robert De Niro",English,movie,104 min,6.9,15 Aug 1997,"Crime, Drama, Thriller",Cop Land,64,True,tt0118887,"68,020",USA
56fbd17971a06517ccaa7a6f,Steve Oedekerk,,1 win.,Steve Oedekerk,http://ia.media-imdb.com/images/M/MV5BMTI3NTExNzYzOV5BMl5BanBnXkFtZTcwMTg4ODAyMQ@@._V1_SX300.jpg,R,"Martin Lawrence, Tim Robbins, John C. McGinley, Giancarlo Esposito",English,movie,98 min,6.7,18 Jul 1997,"Action, Adventure, Comedy",Nothing to Lose,N/A,True,tt0119807,"35,507",USA
56fbd17971a06517ccaa7a70,David Franzoni,"44,175,394",Nominated for 4 Oscars. Another 9 wins & 38 nominations.,Steven Spielberg,http://ia.media-imdb.com/images/M/MV5BOTY4NzgzMTU0Nl5BMl5BanBnXkFtZTgwNDYxNjcxMTE@._V1_SX300.jpg,R,"Morgan Freeman, Nigel Hawthorne, Anthony Hopkins, Djimon Hounsou","English, Mende, Spanish",movie,155 min,7.2,25 Dec 1997,"Drama, History",Amistad,63,True,tt0118607,"54,915",USA
56fbd17971a06517ccaa7a71,George Tillman Jr.,,6 wins & 12 nominations.,George Tillman Jr.,http://ia.media-imdb.com/images/M/MV5BMTgzOTA5OTc0OF5BMl5BanBnXkFtZTYwNzkxNDA5._V1_SX300.jpg,R,"Vanessa Williams, Vivica A. Fox, Nia Long, Michael Beach",English,movie,115 min,6.9,26 Sep 1997,"Comedy, Drama",Soul Food,68,True,tt0120169,"5,115",USA
56fbd17971a06517ccaa7a72,"Larry Beinhart (book, Hilary Henkin (screenplay, David Mamet (screenplay)","43,022,524",Nominated for 2 Oscars. Another 2 wins & 17 nominations.,Barry Levinson,http://ia.media-imdb.com/images/M/MV5BMTk0NTEyNzEwMF5BMl5BanBnXkFtZTgwNjcwNTcxMTE@._V1_SX300.jpg,R,"Dustin Hoffman, Robert De Niro, Anne Heche, Denis Leary","English, Albanian",movie,97 min,7.1,09 Jan 1998,"Comedy, Drama",Wag the Dog,73,True,tt0120885,"66,517",USA
56fbd17971a06517ccaa7a73,"Kevin Jarre (story, David Aaron Cohen (screenplay, Vincent Patrick (screenplay, Kevin Jarre (screenplay)","42,877,165",N/A,Alan J. Pakula,http://ia.media-imdb.com/images/M/MV5BMTYzMDA1OTc4OF5BMl5BanBnXkFtZTgwODc2MzkyMTE@._V1_SX300.jpg,R,"Harrison Ford, Brad Pitt, Margaret Colin, Rubén Blades",English,movie,111 min,6.1,26 Mar 1997,"Action, Crime, Drama",The Devil's Own,53,True,tt0118972,"44,086",USA
56fbd17971a06517ccaa7a74,"Joseph D. Pistone (book, Richard Woodley (book, Paul Attanasio (screenplay)","41,954,997",Nominated for 1 Oscar. Another 2 wins & 14 nominations.,Mike Newell,http://ia.media-imdb.com/images/M/MV5BNjYwMTI0NzUzOV5BMl5BanBnXkFtZTgwNjk3NjQxMTE@._V1_SX300.jpg,R,"Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby","English, Italian, Japanese",movie,127 min,7.8,28 Feb 1997,"Biography, Crime, Drama",Donnie Brasco,76,True,tt0119008,"219,590",USA
56fbd17971a06517ccaa7a75,"Leslie Cockburn (article, Andrew Cockburn (article, Michael Schiffer (screenplay)",,2 nominations.,Mimi Leder,http://ia.media-imdb.com/images/M/MV5BMTc5ODE4NDU5M15BMl5BanBnXkFtZTcwNDg5MDAyMQ@@._V1_SX300.jpg,R,"George Clooney, Nicole Kidman, Marcel Iures, Aleksandr Baluev","English, Russian, Serbian, Bosnian, Croatian",movie,124 min,5.9,26 Sep 1997,"Action, Thriller",The Peacemaker,43,True,tt0119874,"45,582",USA
56fbd17971a06517ccaa7a76,"Howard Stern (book, Len Blum (screenplay, Michael Kalesniko (screenplay)","41,198,146",2 wins & 3 nominations.,Betty Thomas,http://ia.media-imdb.com/images/M/MV5BMTgyODc5NDAyNF5BMl5BanBnXkFtZTYwMjQyMzM5._V1_SX300.jpg,R,"Howard Stern, Robin Quivers, Mary McCormack, Fred Norris",English,movie,109 min,6.8,07 Mar 1997,"Biography, Comedy, Drama",Private Parts,67,True,tt0119951,"28,961",USA
56fbd17971a06517ccaa7a77,"Joel Cohen, Alec Sokolow","41,067,398",1 nomination.,Brett Ratner,http://ia.media-imdb.com/images/M/MV5BMTIzNzU5Mzk1OV5BMl5BanBnXkFtZTcwMjIyMTIyMQ@@._V1_SX300.jpg,R,"Chris Tucker, Charlie Sheen, Heather Locklear, Elise Neal","English, French",movie,97 min,6.1,22 Aug 1997,"Action, Comedy, Crime",Money Talks,N/A,True,tt0119695,"22,327",USA
56fbd17971a06517ccaa7a78,"Quentin Tarantino (written for the screen by, Elmore Leonard (novel)",,Nominated for 1 Oscar. Another 7 wins & 21 nominations.,Quentin Tarantino,http://ia.media-imdb.com/images/M/MV5BMzMxMzYzMDUyNV5BMl5BanBnXkFtZTgwMjI2Mzk5MDE@._V1_SX300.jpg,R,"Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda",English,movie,154 min,7.5,25 Dec 1997,"Crime, Drama, Thriller",Jackie Brown,64,True,tt0119396,"232,209",USA
