_id,imdbVotes,Type,Response,Language,Title,Box_office,Country,Rated,Runtime,imdbRating,Metascore,Actors,imdbID,Writer,Released,Director,Genre,Poster,Awards
56fb997a71a06517682a2c6b,"36,607",movie,True,English,Fletch,"46,700,000",USA,PG,98 min,6.9,N/A,"Chevy Chase, Joe Don Baker, Dana Wheeler-Nicholson, Richard Libertini",tt0089155,"Gregory McDonald (novel, Andrew Bergman (screenplay)",31 May 1985,Michael Ritchie,"Comedy, Crime, Mystery",http://ia.media-imdb.com/images/M/MV5BMTQ5ODU5MzU0OV5BMl5BanBnXkFtZTcwNzM1MzI0MQ@@._V1_SX300.jpg,1 nomination.
56fb997a71a06517682a2c6c,"66,467",movie,True,English,A View to a Kill,"50,300,000",UK,PG,131 min,6.3,N/A,"Roger Moore, Christopher Walken, Tanya Roberts, Grace Jones",tt0090264,"Richard Maibaum (screenplay, Michael G. Wilson (screenplay)",24 May 1985,John Glen,"Action, Adventure, Thriller",http://ia.media-imdb.com/images/M/MV5BMTMwMTYzOTIwM15BMl5BanBnXkFtZTcwODY5MDg0NA@@._V1_SX300.jpg,Nominated for 1 Golden Globe. Another 2 wins & 4 nominations.
56fb997a71a06517682a2c6d,"41,122",movie,True,"English, Italian, German, French",European Vacation,"49,400,000",USA,PG-13,95 min,6.1,N/A,"Chevy Chase, Beverly D'Angelo, Dana Hill, Jason Lively",tt0089670,"John Hughes (screenplay, John Hughes (story, Robert Klane (screenplay)",26 Jul 1985,Amy Heckerling,Comedy,http://ia.media-imdb.com/images/M/MV5BMTU2Nzg1ODM0MF5BMl5BanBnXkFtZTcwMTM5OTMyMQ@@._V1_SX300.jpg,1 win & 1 nomination.
56fb997a71a06517682a2c6e,"20,177",movie,True,English,Mask,"42,400,000",USA,R,120 min,7.2,N/A,"Cher, Sam Elliott, Eric Stoltz, Estelle Getty",tt0089560,Anna Hamilton Phelan,22 Mar 1985,Peter Bogdanovich,"Biography, Drama",http://ia.media-imdb.com/images/M/MV5BMTcxOTgzNTg0Nl5BMl5BanBnXkFtZTgwOTYyMzcxMTE@._V1_SX300.jpg,Won 1 Oscar. Another 2 wins & 6 nominations.
56fb997a71a06517682a2c6f,"245,146",movie,True,English,The Breakfast Club,"38,100,000",USA,R,97 min,7.9,62,"Emilio Estevez, Paul Gleason, Anthony Michael Hall, John Kapelos",tt0088847,John Hughes,15 Feb 1985,John Hughes,"Comedy, Drama",http://ia.media-imdb.com/images/M/MV5BMzYyNTQ1Nzk2M15BMl5BanBnXkFtZTcwODk0NTQyMQ@@._V1_SX300.jpg,1 win.
56fb997a71a06517682a2c70,"5,121",movie,True,"English, Russian",White Nights,"13,046,465",USA,PG-13,136 min,6.6,46,"Mikhail Baryshnikov, Gregory Hines, Jerzy Skolimowski, Helen Mirren",tt0090319,"James Goldman (screenplay, Eric Hughes (screenplay, James Goldman (story)",06 Dec 1985,Taylor Hackford,Drama,http://ia.media-imdb.com/images/M/MV5BNDYzNDM4MzY2Nl5BMl5BanBnXkFtZTcwNzA0MjA0MQ@@._V1_SX300.jpg,Won 1 Oscar. Another 2 wins & 2 nominations.
56fb997a71a06517682a2c71,"38,100",movie,True,English,Pale Rider,"41,400,000",USA,R,115 min,7.3,N/A,"Clint Eastwood, Michael Moriarty, Carrie Snodgress, Chris Penn",tt0089767,"Michael Butler, Dennis Shryack",28 Jun 1985,Clint Eastwood,Western,http://ia.media-imdb.com/images/M/MV5BMjE3NDk1MzI0Nl5BMl5BanBnXkFtZTYwMTQ2NjA5._V1_SX300.jpg,2 wins & 1 nomination.
56fb997a71a06517682a2c72,"40,277",movie,True,English,Pee-wee's Big Adventure,"40,900,000",USA,PG,91 min,7.0,47,"Paul Reubens, Elizabeth Daily, Mark Holton, Diane Salinger",tt0089791,"Phil Hartman, Paul Reubens, Michael Varhol",09 Aug 1985,Tim Burton,"Adventure, Comedy, Family",http://ia.media-imdb.com/images/M/MV5BMjEyMjI3MjAxMF5BMl5BanBnXkFtZTYwOTMxNzk4._V1_SX300.jpg,1 win & 2 nominations.
56fb997a71a06517682a2c73,"27,482",movie,True,English,Brewster's Millions,"38,800,000",USA,PG,102 min,6.5,N/A,"Richard Pryor, John Candy, Lonette McKee, Stephen Collins",tt0088850,"George Barr McCutcheon (based on the novel by, Herschel Weingrod (screenplay, Timothy Harris (screenplay)",22 May 1985,Walter Hill,Comedy,http://ia.media-imdb.com/images/M/MV5BMjAzOTE2MzA2NF5BMl5BanBnXkFtZTYwMTM0NTg4._V1_SX300.jpg,N/A
56fb997a71a06517682a2c74,"9,954",movie,True,English,Jagged Edge,"40,500,000",USA,R,108 min,6.4,N/A,"Maria Mayenzet, Peter Coyote, Dave Austin, Richard Partlow",tt0089360,Joe Eszterhas,04 Oct 1985,Richard Marquand,"Crime, Thriller, Mystery",http://ia.media-imdb.com/images/M/MV5BMTM3MDQwNDQyNl5BMl5BanBnXkFtZTYwODQ0Njk4._V1_SX300.jpg,Nominated for 1 Oscar. Another 3 nominations.
56fb997a71a06517682a2c75,"27,130",movie,True,English,St. Elmo's Fire,"37,800,000",USA,R,110 min,6.3,N/A,"Emilio Estevez, Rob Lowe, Andrew McCarthy, Demi Moore",tt0090060,"Joel Schumacher, Carl Kurlander",28 Jun 1985,Joel Schumacher,"Drama, Romance",http://ia.media-imdb.com/images/M/MV5BMjE4ODM2MTAzOF5BMl5BanBnXkFtZTgwOTYxNjcxMTE@._V1_SX300.jpg,1 win & 1 nomination.
56fb997a71a06517682a2c76,"98,478",movie,True,English,Mad Max Beyond Thunderdome,"36,200,000",Australia,PG-13,107 min,6.2,80,"Mel Gibson, Bruce Spence, Adam Cockburn, Tina Turner",tt0089530,"Terry Hayes, George Miller",10 Jul 1985,"George Miller, George Ogilvie","Action, Adventure, Sci-Fi",http://ia.media-imdb.com/images/M/MV5BMTk0MDQ5NTYxNV5BMl5BanBnXkFtZTcwNTA0ODYyMQ@@._V1_SX300.jpg,Nominated for 1 Golden Globe. Another 1 win & 7 nominations.
56fb997a71a06517682a2c77,"107,552",movie,True,English,Commando,,USA,R,90 min,6.7,N/A,"Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Wells",tt0088944,"Jeph Loeb (story, Matthew Weisman (story, Steven E. de Souza (story, Steven E. de Souza (screenplay)",04 Oct 1985,Mark L. Lester,"Action, Adventure, Thriller",http://ia.media-imdb.com/images/M/MV5BMTcyNzY4NjA2MF5BMl5BanBnXkFtZTcwNTkzNjk0MQ@@._V1_SX300.jpg,2 nominations.
56fb997a71a06517682a2c78,"33,616",movie,True,English,Teen Wolf,"33,086,700",USA,PG,91 min,6.0,25,"Michael J. Fox, James Hampton, Susan Ursitti, Jerry Levine",tt0090142,"Jeph Loeb, Matthew Weisman",23 Aug 1985,Rod Daniel,"Comedy, Fantasy",http://ia.media-imdb.com/images/M/MV5BMTU2OTkxMTg0OV5BMl5BanBnXkFtZTcwMjkzMTM3NA@@._V1_SX300.jpg,N/A
56fb997a71a06517682a2c79,"27,419",movie,True,English,Silverado,"33,200,000",USA,PG-13,133 min,7.2,64,"Kevin Kline, Scott Glenn, Kevin Costner, Danny Glover",tt0090022,"Lawrence Kasdan, Mark Kasdan",10 Jul 1985,Lawrence Kasdan,"Action, Crime, Drama",http://ia.media-imdb.com/images/M/MV5BMTQ0MTMwMjY0MV5BMl5BanBnXkFtZTcwODMwMjgyMQ@@._V1_SX300.jpg,Nominated for 2 Oscars. Another 1 win & 2 nominations.
56fb997a71a06517682a2c7a,"4,026",movie,True,English,Murphy's Romance,"30,762,621",USA,PG-13,107 min,7.0,N/A,"Sally Field, James Garner, Brian Kerwin, Corey Haim",tt0089643,"Max Schott (based on the novella by, Harriet Frank Jr. (screenplay, Irving Ravetch (screenplay)",31 Jan 1986,Martin Ritt,"Comedy, Drama, Romance",http://ia.media-imdb.com/images/M/MV5BMTI2MTkxNTk1NF5BMl5BanBnXkFtZTcwOTE5MzkxMQ@@._V1_SX300.jpg,Nominated for 2 Oscars. Another 2 nominations.
56fb997a71a06517682a2c7b,"41,927",movie,True,English,A Nightmare on Elm Street 2: Freddy's Revenge,"30,000,000",USA,R,87 min,5.4,N/A,"Mark Patton, Kim Myers, Robert Rusler, Clu Gulager",tt0089686,"David Chaskin, Wes Craven (characters)",01 Nov 1985,Jack Sholder,"Fantasy, Horror",http://ia.media-imdb.com/images/M/MV5BMjA4OTA4NTA4MV5BMl5BanBnXkFtZTYwNTI2MjU5._V1_SX300.jpg,1 nomination.
56fb997a71a06517682a2c7c,"15,951",movie,True,English,Desperately Seeking Susan,"27,400,000",USA,PG-13,104 min,5.8,N/A,"Rosanna Arquette, Madonna, Aidan Quinn, Mark Blum",tt0089017,Leora Barish,12 Apr 1985,Susan Seidelman,"Comedy, Drama",http://ia.media-imdb.com/images/M/MV5BMTIzMzA5NjIzOF5BMl5BanBnXkFtZTYwOTA2NTI5._V1_SX300.jpg,Nominated for 1 Golden Globe. Another 1 win & 2 nominations.
56fb997a71a06517682a2c7d,"18,104",movie,True,English,Prizzi's Honor,"26,700,000",USA,R,130 min,6.8,N/A,"Jack Nicholson, Kathleen Turner, Robert Loggia, John Randolph",tt0089841,"Richard Condon (novel, Richard Condon (screenplay, Janet Roach (screenplay)",14 Jun 1985,John Huston,"Comedy, Crime, Drama",http://ia.media-imdb.com/images/M/MV5BNjU5YTJkNDYtYTEwMC00ZWFjLTk1Y2ItZWQ5YTcxNDY0MmI3XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,Won 1 Oscar. Another 24 wins & 25 nominations.
56fb997a71a06517682a2c7e,"9,086",movie,True,English,The Last Dragon,"33,000,000",USA,PG-13,109 min,6.9,N/A,"Taimak, Vanity, Christopher Murney, Julius Carry",tt0089461,Louis Venosta,22 Mar 1985,Michael Schultz,"Action, Comedy, Drama",http://ia.media-imdb.com/images/M/MV5BMjE4ODQ1ODA5Ml5BMl5BanBnXkFtZTYwNDAxOTY5._V1_SX300.jpg,Nominated for 1 Golden Globe. Another 2 nominations.
56fb997a71a06517682a2c7f,"5,343",movie,True,"English, French, Latin",Agnes of God,,USA,PG-13,98 min,6.6,N/A,"Jane Fonda, Anne Bancroft, Meg Tilly, Anne Pitoniak",tt0088683,"John Pielmeier (screenplay, John Pielmeier (play)",27 Sep 1985,Norman Jewison,"Drama, Mystery",http://ia.media-imdb.com/images/M/MV5BMTg4NTEyNTUxNl5BMl5BanBnXkFtZTcwNzkwMzAzMQ@@._V1_SX300.jpg,Nominated for 3 Oscars. Another 1 win & 2 nominations.
56fb997a71a06517682a2c80,"40,994",movie,True,English,Fright Night,,USA,R,106 min,7.1,N/A,"Chris Sarandon, William Ragsdale, Amanda Bearse, Roddy McDowall",tt0089175,Tom Holland,02 Aug 1985,Tom Holland,"Fantasy, Horror, Thriller",http://ia.media-imdb.com/images/M/MV5BMjQzMTM4NzUyM15BMl5BanBnXkFtZTgwNDYyODgwNzE@._V1_SX300.jpg,5 wins & 4 nominations.
56fb997a71a06517682a2c81,"9,786",movie,True,"English, Spanish",Summer Rental,,USA,PG-13,87 min,6.2,N/A,"John Candy, Karen Austin, Kerri Green, Joey Lawrence",tt0090098,"Jeremy Stevens, Mark Reisman",09 Aug 1985,Carl Reiner,"Comedy, Romance",http://ia.media-imdb.com/images/M/MV5BMTgxMDEzMjUzMF5BMl5BanBnXkFtZTcwMTIzMjUyMQ@@._V1_SX300.jpg,3 nominations.
56fb997a71a06517682a2c82,"7,194",movie,True,"English, Portuguese",The Emerald Forest,"24,467,000",UK,R,114 min,6.9,N/A,"Powers Boothe, Meg Foster, Yara Vaneau, William Rodriguez",tt0089087,Rospo Pallenberg,03 Jul 1985,John Boorman,"Action, Adventure, Drama",http://ia.media-imdb.com/images/M/MV5BMTI5NTYzMTI0Ml5BMl5BanBnXkFtZTYwOTMyNTg5._V1_SX300.jpg,Nominated for 3 BAFTA Film Awards. Another 1 nomination.
56fb997a71a06517682a2c83,"57,635",movie,True,English,Weird Science,"16,300,000",USA,PG-13,94 min,6.6,46,"Anthony Michael Hall, Kelly LeBrock, Ilan Mitchell-Smith, Bill Paxton",tt0090305,John Hughes,02 Aug 1985,John Hughes,"Comedy, Romance, Sci-Fi",http://ia.media-imdb.com/images/M/MV5BNTE2MzkxNzExM15BMl5BanBnXkFtZTgwNzIwODQxMTE@._V1_SX300.jpg,1 nomination.
56fb997a71a06517682a2c84,"4,039",movie,True,English,The Care Bears Movie,"22,934,000",Canada,G,77 min,5.5,N/A,"Mickey Rooney, Jackie Burroughs, Georgia Engel, Sunny Besen Thrasher",tt0088885,Peter Sauder (screenplay),29 Mar 1985,Arna Selznick,"Animation, Adventure, Comedy",http://ia.media-imdb.com/images/M/MV5BOTEzMzI5MTcxM15BMl5BanBnXkFtZTcwNjEyNzU0MQ@@._V1_SX300.jpg,1 win & 2 nominations.
56fb997a71a06517682a2c85,"21,118",movie,True,English,The Black Cauldron,"21,000,000",USA,PG,80 min,6.4,N/A,"Grant Bardsley, Susan Sheridan, Freddie Jones, Nigel Hawthorne",tt0088814,"Lloyd Alexander (novel, David Jonas (story, Vance Gerry (story, Ted Berman (story, Richard Rich (story, Al Wilson (story, Roy Morita (story, Peter Young (story, Art Stevens (story, Joe Hale (story, Rosemary Anne Sisson (additional dialogue, Roy Edward Disney (additional dialogue, Tony Marino (additional story contributions, Steve Hulett (additional story contributions, Mel Shaw (additional story contributions, Burny Mattinson (additional story contributions, John Musker (additional story contributions, Ron Clements (additional story contributions, Doug Lefler (additional story contributions)",24 Jul 1985,"Ted Berman, Richard Rich","Animation, Adventure, Family",http://ia.media-imdb.com/images/M/MV5BNjMwNDU2ODk1M15BMl5BanBnXkFtZTcwMjg4MDYyMQ@@._V1_SX300.jpg,N/A
56fb997a71a06517682a2c86,"4,646",movie,True,English,Code of Silence,,USA,R,101 min,6.0,N/A,"Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese",tt0088936,"Michael Butler (screenplay, Dennis Shryack (screenplay, Mike Gray (screenplay, Michael Butler (story, Dennis Shryack (story)",03 May 1985,Andrew Davis,"Action, Crime, Drama",http://ia.media-imdb.com/images/M/MV5BNDUxNDAyNTY1NV5BMl5BanBnXkFtZTcwMzM4OTEzNA@@._V1_SX300.jpg,N/A
56fb997a71a06517682a2c87,"6,391",movie,True,English,Volunteers,,USA,R,107 min,5.4,N/A,"Tom Hanks, John Candy, Rita Wilson, Tim Thomerson",tt0090274,"Keith Critchlow (story, Ken Levine (screenplay, David Isaacs (screenplay)",16 Aug 1985,Nicholas Meyer,Comedy,http://ia.media-imdb.com/images/M/MV5BMTY2MzAyMDY2MF5BMl5BanBnXkFtZTYwODY1NTU5._V1_SX300.jpg,N/A
56fb997a71a06517682a2c88,"14,346",movie,True,English,Young Sherlock Holmes,"4,250,320",USA,PG-13,109 min,6.8,N/A,"Nicholas Rowe, Alan Cox, Sophie Ward, Anthony Higgins",tt0090357,"Arthur Conan Doyle (characters, Chris Columbus (screenplay, Quico Rovira-Beleta (Castilian Spanish translation & adaptation)",04 Dec 1985,Barry Levinson,"Adventure, Fantasy, Mystery",http://ia.media-imdb.com/images/M/MV5BMjA0NjMyMTg4NV5BMl5BanBnXkFtZTcwMDIwNTAwMQ@@._V1_SX300.jpg,Nominated for 1 Oscar. Another 1 win & 3 nominations.
56fb997a71a06517682a2c89,"10,093",movie,True,"Mandarin, English, Cantonese, Vietnamese, Polish",Year of the Dragon,"18,700,000","USA, France",R,134 min,6.9,N/A,"Mickey Rourke, John Lone, Ariane, Leonard Termo",tt0090350,"Robert Daley (novel, Oliver Stone (screenplay, Michael Cimino (screenplay)",16 Aug 1985,Michael Cimino,"Action, Crime, Drama",http://ia.media-imdb.com/images/M/MV5BMTk1MDk1MzgxMl5BMl5BanBnXkFtZTYwMTI2Mjc4._V1_SX300.jpg,Nominated for 2 Golden Globes. Another 1 win & 7 nominations.
56fb997a71a06517682a2c8a,"32,579",movie,True,English,Ladyhawke,,USA,PG-13,121 min,7.0,N/A,"Matthew Broderick, Rutger Hauer, Michelle Pfeiffer, Leo McKern",tt0089457,"Edward Khmara (screenplay, Michael Thomas (screenplay, Tom Mankiewicz (screenplay, Edward Khmara (story)",12 Apr 1985,Richard Donner,"Adventure, Drama, Fantasy",http://ia.media-imdb.com/images/M/MV5BMTc1MDI3NDcwOV5BMl5BanBnXkFtZTcwMDkxMTkyMQ@@._V1_SX300.jpg,Nominated for 2 Oscars. Another 4 wins & 5 nominations.
56fb997a71a06517682a2c8b,"14,981",movie,True,English,The Sure Thing,"18,136,000",USA,PG-13,100 min,7.0,N/A,"John Cusack, Daphne Zuniga, Anthony Edwards, Boyd Gaines",tt0090103,"Steve Bloom, Jonathan Roberts",01 Mar 1985,Rob Reiner,"Comedy, Drama, Romance",http://ia.media-imdb.com/images/M/MV5BMTUxOTAyOTI4Nl5BMl5BanBnXkFtZTcwNzcyMTAwMQ@@._V1_SX300.jpg,N/A
56fb997a71a06517682a2c8c,"5,783",movie,True,"English, Russian, Spanish",Invasion U.S.A.,,USA,R,107 min,5.3,N/A,"Chuck Norris, Richard Lynch, Melissa Prophet, Alexander Zale",tt0089348,"James Bruner (screenplay, Chuck Norris (screenplay, Aaron Norris (story, James Bruner (story)",27 Sep 1985,Joseph Zito,"Action, Thriller",http://ia.media-imdb.com/images/M/MV5BMzU0ODAyNDU0Nl5BMl5BanBnXkFtZTcwMDkzNzA2NA@@._V1_SX300.jpg,N/A
56fb997a71a06517682a2c8d,"20,161",movie,True,"English, Arabic, Spanish",To Live and Die in L.A.,"967,312",USA,R,116 min,7.2,N/A,"William Petersen, Willem Dafoe, John Pankow, Debra Feuer",tt0090180,"Gerald Petievich (novel, William Friedkin (screenplay, Gerald Petievich (screenplay)",01 Nov 1985,William Friedkin,"Action, Crime, Drama",http://ia.media-imdb.com/images/M/MV5BMTU1ODYxNTc0NF5BMl5BanBnXkFtZTgwOTU1OTc1MDE@._V1_SX300.jpg,3 wins.
56fb997a71a06517682a2c8e,"8,022",movie,True,English,The Falcon and the Snowman,"17,100,000","UK, USA",R,131 min,6.8,N/A,"Timothy Hutton, Sean Penn, Pat Hingle, Joyce Van Patten",tt0087231,"Robert Lindsey (book, Steven Zaillian",08 Feb 1985,John Schlesinger,"Biography, Crime, Drama",http://ia.media-imdb.com/images/M/MV5BNjM4NTI0MjUzNV5BMl5BanBnXkFtZTcwMTMzNzYzNA@@._V1_SX300.jpg,1 nomination.
56fb997a71a06517682a2c8f,"10,439",movie,True,"English, French, Portuguese, German",Kiss of the Spider Woman,"4,952,880","Brazil, USA",R,120 min,7.5,80,"William Hurt, Raul Julia, Sonia Braga, José Lewgoy",tt0089424,"Manuel Puig (based on the novel by, Leonard Schrader",26 Jul 1985,Hector Babenco,"Drama, Romance","http://ia.media-imdb.com/images/M/MV5BMTUzOTg0MDEwOV5BMl5BanBnXkFtZTcwNTg1OTM2MQ@@._V1._CR12,11,306,484_SX89_AL_.jpg_V1_SX300.jpg",Won 1 Oscar. Another 10 wins & 11 nominations.
56fb997a71a06517682a2c90,"9,700",movie,True,English,Death Wish 3,,USA,X,92 min,5.9,N/A,"Charles Bronson, Deborah Raffin, Ed Lauter, Martin Balsam",tt0089003,"Don Jakoby, Brian Garfield (characters created by)",01 Nov 1985,Michael Winner,"Action, Crime, Drama",http://ia.media-imdb.com/images/M/MV5BMTI0MDk3MDEyMV5BMl5BanBnXkFtZTcwOTA3OTQyMQ@@._V1_SX300.jpg,N/A
56fb997a71a06517682a2c91,"9,495",movie,True,English,King Solomon's Mines,"238,227","USA, South Africa",PG-13,100 min,5.1,N/A,"Richard Chamberlain, Sharon Stone, Herbert Lom, John Rhys-Davies",tt0089421,"H. Rider Haggard (novel, Gene Quintano (screenplay, James R. Silke (screenplay)",22 Nov 1985,J. Lee Thompson,"Action, Adventure, Comedy",http://ia.media-imdb.com/images/M/MV5BMTUzODYxNjIwOF5BMl5BanBnXkFtZTcwMjIyMDczMQ@@._V1_SX300.jpg,2 nominations.
56fb997a71a06517682a2c92,"2,531",movie,True,English,Baby: Secret of the Lost Legend,,USA,PG,95 min,5.0,N/A,"William Katt, Sean Young, Patrick McGoohan, Julian Fellowes",tt0088760,"Clifford Green, Ellen Green, David Lee Miller (storybook)",22 Mar 1985,Bill Norton,"Family, Adventure, Sci-Fi",http://ia.media-imdb.com/images/M/MV5BMzcwODA5NjMzMl5BMl5BanBnXkFtZTcwNDcxMDIyMQ@@._V1_SX300.jpg,N/A
56fb997a71a06517682a2c93,"55,800",movie,True,"English, French",Clue,"3,149,676",USA,PG,94 min,7.3,36,"Eileen Brennan, Tim Curry, Madeline Kahn, Christopher Lloyd",tt0088930,"John Landis (story, Jonathan Lynn (story, Jonathan Lynn (screenplay)",13 Dec 1985,Jonathan Lynn,"Comedy, Crime, Mystery",http://ia.media-imdb.com/images/M/MV5BNTc3NDc1ODYxNl5BMl5BanBnXkFtZTcwMjc5MDMyMQ@@._V1_SX300.jpg,N/A
56fb997a71a06517682a2c94,"8,480",movie,True,English,Remo Williams: The Adventure Begins,,USA,PG-13,121 min,6.4,N/A,"Fred Ward, Joel Grey, Wilford Brimley, J.A. Preston",tt0089901,"Richard Sapir (novel, Warren Murphy (novel, Christopher Wood",11 Oct 1985,Guy Hamilton,"Action, Adventure, Comedy",http://ia.media-imdb.com/images/M/MV5BMTk4MzIyNzQyNF5BMl5BanBnXkFtZTYwNTgwNzk5._V1_SX300.jpg,Nominated for 1 Oscar. Another 3 nominations.
