_id,Genre,Runtime,Awards,Director,Language,Actors,imdbRating,Country,Response,Metascore,Writer,Poster,imdbID,Box_office,Rated,Title,Type,Released,imdbVotes
57076f1171a065033c87ab8f,"Action, Adventure, Sci-Fi",132 min,Nominated for 1 Oscar. Another 6 wins & 44 nominations.,J.J. Abrams,"English, Klingon","Chris Pine, Zachary Quinto, Zoe Saldana, Karl Urban",7.8,USA,True,72,"Roberto Orci, Alex Kurtzman, Damon Lindelof, Gene Roddenberry (television series \",http://ia.media-imdb.com/images/M/MV5BMTk2NzczOTgxNF5BMl5BanBnXkFtZTcwODQ5ODczOQ@@._V1_SX300.jpg,tt1408101,"228,756,232",PG-13,Star Trek Into Darkness,movie,16 May 2013,"381,444"
57076f1171a065033c87ab90,"Action, Adventure, Fantasy",112 min,2 wins & 18 nominations.,Alan Taylor,English,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins",7.1,USA,True,54,"Christopher Yost (screenplay, Christopher Markus (screenplay, Stephen McFeely (screenplay, Don Payne (story, Robert Rodat (story, Stan Lee (comic book, Larry Lieber (comic book, Jack Kirby (comic book)",http://ia.media-imdb.com/images/M/MV5BMTQyNzAwOTUxOF5BMl5BanBnXkFtZTcwMTE0OTc5OQ@@._V1_SX300.jpg,tt1981115,"206,360,018",PG-13,Thor: The Dark World,movie,08 Nov 2013,"389,208"
57076f1171a065033c87ab91,"Action, Adventure, Horror",116 min,3 wins & 21 nominations.,Marc Forster,"English, Spanish, Hebrew, Arabic","Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale",7.0,"USA, Malta",True,63,"Matthew Michael Carnahan (screenplay, Drew Goddard (screenplay, Damon Lindelof (screenplay, Matthew Michael Carnahan (screen story, J. Michael Straczynski (screen story, Max Brooks (based on the novel by)",http://ia.media-imdb.com/images/M/MV5BMTg0NTgxMjIxOF5BMl5BanBnXkFtZTcwMDM0MDY1OQ@@._V1_SX300.jpg,tt0816711,"202,351,611",PG-13,World War Z,movie,21 Jun 2013,"446,286"
57076f1171a065033c87ab92,"Animation, Adventure, Comedy",98 min,Nominated for 1 Oscar. Another 5 wins & 41 nominations.,"Kirk De Micco, Chris Sanders",English,"Nicolas Cage, Emma Stone, Ryan Reynolds, Catherine Keener",7.3,USA,True,55,"Chris Sanders (screenplay, Kirk De Micco (screenplay, John Cleese (story, Kirk De Micco (story, Chris Sanders (story)",http://ia.media-imdb.com/images/M/MV5BMTcyOTc2OTA1Ml5BMl5BanBnXkFtZTcwOTI1MjkzOQ@@._V1_SX300.jpg,tt0481499,"187,165,546",PG,The Croods,movie,22 Mar 2013,"144,284"
57076f1171a065033c87ab93,"Action, Comedy, Crime",117 min,7 wins & 15 nominations.,Paul Feig,"English, Spanish, Bulgarian","Sandra Bullock, Melissa McCarthy, Demián Bichir, Marlon Wayans",6.6,USA,True,60,Katie Dippold,http://ia.media-imdb.com/images/M/MV5BMjA2MDQ2ODM3MV5BMl5BanBnXkFtZTcwNDUzMTQ3OQ@@._V1_SX300.jpg,tt2404463,"159,578,352",R,The Heat,movie,28 Jun 2013,"126,979"
57076f1171a065033c87ab94,"Adventure, Comedy, Crime",110 min,3 wins & 14 nominations.,Rawson Marshall Thurber,"English, Spanish","Jennifer Aniston, Jason Sudeikis, Emma Roberts, Will Poulter",7.0,USA,True,44,"Bob Fisher (screenplay, Steve Faber (screenplay, Sean Anders (screenplay, John Morris (screenplay, Bob Fisher (story, Steve Faber (story)",http://ia.media-imdb.com/images/M/MV5BMjA5Njc0NDUxNV5BMl5BanBnXkFtZTcwMjYzNzU1OQ@@._V1_SX300.jpg,tt1723121,"150,368,971",R,We're the Millers,movie,07 Aug 2013,"306,213"
57076f1171a065033c87ab95,"Crime, Drama",138 min,Nominated for 10 Oscars. Another 64 wins & 199 nominations.,David O. Russell,"English, Arabic","Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner",7.3,USA,True,90,"Eric Warren Singer, David O. Russell",http://ia.media-imdb.com/images/M/MV5BNjkxMTc0MDc4N15BMl5BanBnXkFtZTgwODUyNTI1MDE@._V1_SX300.jpg,tt1800241,"150,117,807",R,American Hustle,movie,20 Dec 2013,"348,235"
57076f1171a065033c87ab96,Horror,112 min,14 wins & 21 nominations.,James Wan,"English, Latin","Vera Farmiga, Patrick Wilson, Lili Taylor, Ron Livingston",7.5,USA,True,68,"Chad Hayes, Carey Hayes",http://ia.media-imdb.com/images/M/MV5BMTM3NjA1NDMyMV5BMl5BanBnXkFtZTcwMDQzNDMzOQ@@._V1_SX300.jpg,tt1457767,"137,387,272",R,The Conjuring,movie,19 Jul 2013,"277,151"
57076f1171a065033c87ab97,"Comedy, Crime",111 min,1 win & 8 nominations.,Seth Gordon,English,"Jason Bateman, Melissa McCarthy, Jon Favreau, Amanda Peet",5.7,USA,True,35,"Craig Mazin (screenplay, Jerry Eeten (story, Craig Mazin (story)",http://ia.media-imdb.com/images/M/MV5BMTY3NzM5MTk2Nl5BMl5BanBnXkFtZTcwMDQ4MjQ3OA@@._V1_SX300.jpg,tt2024432,"134,455,175",R,Identity Thief,movie,08 Feb 2013,"92,955"
57076f1171a065033c87ab98,Comedy,101 min,4 wins & 15 nominations.,Dennis Dugan,"English, Spanish","Adam Sandler, Kevin James, Chris Rock, David Spade",5.4,USA,True,19,"Fred Wolf, Adam Sandler, Tim Herlihy, Adam Sandler (based on characters created by, Fred Wolf (based on characters created by)",http://ia.media-imdb.com/images/M/MV5BMTgwNTI2MDI0OF5BMl5BanBnXkFtZTcwMTk5MDg0OQ@@._V1_SX300.jpg,tt2191701,"133,668,525",PG-13,Grown Ups 2,movie,12 Jul 2013,"103,797"
57076f1171a065033c87ab99,"Action, Adventure, Sci-Fi",126 min,2 wins & 10 nominations.,James Mangold,"English, Japanese","Hugh Jackman, Tao Okamoto, Rila Fukushima, Hiroyuki Sanada",6.7,"USA, UK, Australia, Japan",True,60,"Mark Bomback (screenplay, Scott Frank (screenplay)",http://ia.media-imdb.com/images/M/MV5BNzg1MDQxMTQ2OF5BMl5BanBnXkFtZTcwMTk3MjAzOQ@@._V1_SX300.jpg,tt1430132,"132,550,960",PG-13,The Wolverine,movie,26 Jul 2013,"314,450"
57076f1171a065033c87ab9a,Comedy,119 min,1 win & 23 nominations.,Adam McKay,English,"Will Ferrell, Steve Carell, Paul Rudd, David Koechner",6.3,USA,True,61,"Will Ferrell, Adam McKay, Will Ferrell (characters, Adam McKay (characters)",http://ia.media-imdb.com/images/M/MV5BMjE5ODk0NjQzNV5BMl5BanBnXkFtZTgwODk4MDA1MDE@._V1_SX300.jpg,tt1229340,"2,175,312",PG-13,Anchorman 2: The Legend Continues,movie,18 Dec 2013,"126,414"
57076f1171a065033c87ab9b,"Action, Biography, Drama",121 min,Nominated for 2 Oscars. Another 5 wins & 14 nominations.,Peter Berg,"English, Pushto","Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster",7.6,USA,True,60,"Peter Berg, Marcus Luttrell (book, Patrick Robinson (book)",http://ia.media-imdb.com/images/M/MV5BMjA0NTgwOTk5Ml5BMl5BanBnXkFtZTcwMjE3NDc5OQ@@._V1_SX300.jpg,tt1091191,"125,069,696",R,Lone Survivor,movie,10 Jan 2014,"194,235"
57076f1171a065033c87ab9c,"Action, Adventure, Sci-Fi",110 min,1 win & 11 nominations.,Jon M. Chu,English,"Dwayne Johnson, Jonathan Pryce, Byung-hun Lee, Elodie Yung",5.8,USA,True,41,"Rhett Reese, Paul Wernick",http://ia.media-imdb.com/images/M/MV5BNzk5ODM0OTQ0N15BMl5BanBnXkFtZTcwODg2ODE4OA@@._V1_SX300.jpg,tt1583421,"122,512,052",PG-13,G.I. Joe: Retaliation,movie,28 Mar 2013,"141,900"
57076f1171a065033c87ab9d,"Animation, Comedy, Family",95 min,16 nominations.,"Cody Cameron, Kris Pearn",English,"Bill Hader, Anna Faris, James Caan, Will Forte",6.5,USA,True,59,"Erica Rivinoja (screenplay, John Francis Daley (screenplay, Jonathan M. Goldstein (screenplay, Phil Lord (story, Christopher Miller (story, Erica Rivinoja (story, Judi Barrett (characters, Ron Barrett (characters)",http://ia.media-imdb.com/images/M/MV5BMTYzNDM0MDI1NF5BMl5BanBnXkFtZTcwNzQ5NzYxOQ@@._V1_SX300.jpg,tt1985966,"119,793,567",PG,Cloudy with a Chance of Meatballs 2,movie,27 Sep 2013,"61,224"
57076f1171a065033c87ab9e,"Crime, Mystery, Thriller",115 min,1 win & 3 nominations.,Louis Leterrier,"English, French","Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher",7.3,"France, USA",True,50,"Ed Solomon (screenplay, Boaz Yakin (screenplay, Edward Ricourt (screenplay, Boaz Yakin (story, Edward Ricourt (story)",http://ia.media-imdb.com/images/M/MV5BMTY0NDY3MDMxN15BMl5BanBnXkFtZTcwOTM5NzMzOQ@@._V1_SX300.jpg,tt1670345,"117,698,894",PG-13,Now You See Me,movie,31 May 2013,"414,773"
57076f1171a065033c87ab9f,"Biography, Comedy, Crime",180 min,Nominated for 5 Oscars. Another 35 wins & 151 nominations.,Martin Scorsese,"English, French","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",8.2,USA,True,75,"Terence Winter (screenplay, Jordan Belfort (book)",http://ia.media-imdb.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_SX300.jpg,tt0993846,"116,866,727",R,The Wolf of Wall Street,movie,25 Dec 2013,"736,851"
57076f1171a065033c87aba0,"Biography, Drama",132 min,Nominated for 2 BAFTA Film Awards. Another 17 wins & 50 nominations.,Lee Daniels,English,"Forest Whitaker, David Banner, Michael Rainey Jr., LaJessie Smith",7.2,USA,True,66,"Danny Strong, Wil Haygood (article)",http://ia.media-imdb.com/images/M/MV5BMjM2NDY3MjkyMF5BMl5BanBnXkFtZTcwMDM5Nzg5OQ@@._V1_SX300.jpg,tt1327773,"116,631,310",PG-13,Lee Daniels' The Butler,movie,16 Aug 2013,"85,158"
57076f1171a065033c87aba1,"Comedy, Crime",100 min,2 wins & 6 nominations.,Todd Phillips,English,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",5.9,USA,True,30,"Todd Phillips, Craig Mazin, Jon Lucas (characters, Scott Moore (characters)",http://ia.media-imdb.com/images/M/MV5BMTA0NjE1MzMzODheQTJeQWpwZ15BbWU3MDY4MTQ3Mzk@._V1_SX300.jpg,tt1951261,"112,186,625",R,The Hangover Part III,movie,23 May 2013,"213,743"
57076f1171a065033c87aba2,"Animation, Adventure, Family",102 min,2 wins & 21 nominations.,Chris Wedge,English,"Blake Anderson, Aziz Ansari, Allison Bills, Jim Conroy",6.7,USA,True,52,"James V. Hart (screenplay, William Joyce (screenplay, Daniel Shere (screenplay, Tom J. Astle (screenplay, Matt Ember (screenplay, William Joyce (story, James V. Hart (story, Chris Wedge (story, William Joyce (Leafmen characters from book \",http://ia.media-imdb.com/images/M/MV5BMTgyNDYwNzE5NV5BMl5BanBnXkFtZTcwMzUyODM5OA@@._V1_SX300.jpg,tt0848537,"107,515,297",PG,Epic,movie,24 May 2013,"83,141"
57076f1171a065033c87aba3,"Biography, Drama, Thriller",134 min,Nominated for 6 Oscars. Another 16 wins & 135 nominations.,Paul Greengrass,"English, Somali","Tom Hanks, Catherine Keener, Barkhad Abdi, Barkhad Abdirahman",7.9,USA,True,83,"Billy Ray (screenplay, Richard Phillips (based upon the book \",http://ia.media-imdb.com/images/M/MV5BMTQzNzExMDg3Ml5BMl5BanBnXkFtZTgwODU1NzEzMDE@._V1_SX300.jpg,tt1535109,"107,100,855",PG-13,Captain Phillips,movie,11 Oct 2013,"313,938"
57076f1171a065033c87aba4,"Action, Adventure, Sci-Fi",131 min,Nominated for 1 BAFTA Film Award. Another 4 wins & 41 nominations.,Guillermo del Toro,"English, Japanese, Cantonese, Mandarin","Charlie Hunnam, Diego Klattenhoff, Idris Elba, Rinko Kikuchi",7.0,USA,True,64,"Travis Beacham (screenplay, Guillermo del Toro (screenplay, Travis Beacham (story)",http://ia.media-imdb.com/images/M/MV5BMTY3MTI5NjQ4Nl5BMl5BanBnXkFtZTcwOTU1OTU0OQ@@._V1_SX300.jpg,tt1663662,"101,785,482",PG-13,Pacific Rim,movie,12 Jul 2013,"367,806"
57076f1171a065033c87aba5,"Comedy, Fantasy",107 min,10 wins & 19 nominations.,"Evan Goldberg, Seth Rogen","English, Spanish","James Franco, Jonah Hill, Seth Rogen, Jay Baruchel",6.7,USA,True,67,"Seth Rogen (screenplay, Evan Goldberg (screenplay, Seth Rogen (screen story, Evan Goldberg (screen story, Seth Rogen (short film \",http://ia.media-imdb.com/images/M/MV5BMTQxODE3NjM1Ml5BMl5BanBnXkFtZTcwMzkzNjc4OA@@._V1_SX300.jpg,tt1245492,"101,470,202",R,This Is the End,movie,12 Jun 2013,"301,022"
57076f1171a065033c87aba6,"Action, Thriller",119 min,1 win & 5 nominations.,Antoine Fuqua,"English, Korean","Gerard Butler, Aaron Eckhart, Finley Jacobsen, Dylan McDermott",6.5,USA,True,41,"Creighton Rothenberger, Katrin Benedikt",http://ia.media-imdb.com/images/M/MV5BMTkxNjIyNjE5OF5BMl5BanBnXkFtZTcwMTI3NzkxOQ@@._V1_SX300.jpg,tt2302755,"98,895,417",R,Olympus Has Fallen,movie,22 Mar 2013,"193,006"
57076f1171a065033c87aba7,"Biography, Drama, Sport",128 min,3 wins & 17 nominations.,Brian Helgeland,English,"Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni",7.5,USA,True,62,Brian Helgeland,http://ia.media-imdb.com/images/M/MV5BMTQwMDU4MDI3MV5BMl5BanBnXkFtZTcwMjU1NDgyOQ@@._V1_SX300.jpg,tt0453562,"95,001,343",PG-13,42,movie,12 Apr 2013,"64,800"
57076f1171a065033c87aba8,"Action, Drama, Sci-Fi",109 min,1 win & 9 nominations.,Neill Blomkamp,"English, Spanish, French, Afrikaans","Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga",6.6,USA,True,61,Neill Blomkamp,http://ia.media-imdb.com/images/M/MV5BNDc2NjU0MTcwNV5BMl5BanBnXkFtZTcwMjg4MDg2OQ@@._V1_SX300.jpg,tt1535108,"93,050,117",R,Elysium,movie,09 Aug 2013,"326,103"
57076f1171a065033c87aba9,"Animation, Adventure, Comedy",91 min,5 nominations.,Klay Hall,"English, Spanish","Dane Cook, Stacy Keach, Brad Garrett, Teri Hatcher",5.8,USA,True,39,"John Lasseter (original story by, Klay Hall (original story by, Jeffrey M. Howard (original story by, Jeffrey M. Howard (screenplay)",http://ia.media-imdb.com/images/M/MV5BMjAwODc5NzYzOF5BMl5BanBnXkFtZTcwNTk4MjEzOQ@@._V1_SX300.jpg,tt1691917,"90,282,580",PG,Planes,movie,09 Aug 2013,"34,169"
57076f1171a065033c87abaa,"Action, Adventure, Western",149 min,Nominated for 2 Oscars. Another 4 wins & 17 nominations.,Gore Verbinski,"English, North American Indian","Johnny Depp, Armie Hammer, William Fichtner, Tom Wilkinson",6.5,USA,True,37,"Justin Haythe (screenplay, Ted Elliott (screenplay, Terry Rossio (screenplay, Ted Elliott (screen story, Terry Rossio (screen story, Justin Haythe (screen story)",http://ia.media-imdb.com/images/M/MV5BMjI3Mjk5MTUxOV5BMl5BanBnXkFtZTcwNTMyNzY3OQ@@._V1_SX300.jpg,tt1210819,"89,289,910",PG-13,The Lone Ranger,movie,03 Jul 2013,"176,053"
57076f1171a065033c87abab,"Action, Adventure, Mystery",124 min,11 nominations.,Joseph Kosinski,English,"Tom Cruise, Morgan Freeman, Olga Kurylenko, Andrea Riseborough",7.0,USA,True,54,"Karl Gajdusek (screenplay, Michael Arndt (screenplay, Joseph Kosinski (graphic novel original story)",http://ia.media-imdb.com/images/M/MV5BMTQwMDY0MTA4MF5BMl5BanBnXkFtZTcwNzI3MDgxOQ@@._V1_SX300.jpg,tt1483013,"89,021,735",PG-13,Oblivion,movie,19 Apr 2013,"372,902"
57076f1171a065033c87abac,"Fantasy, Horror, Thriller",106 min,15 nominations.,James Wan,English,"Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye",6.6,"USA, Canada",True,40,"Leigh Whannell (based on characters created by, James Wan (story, Leigh Whannell (story, Leigh Whannell (screenplay)",http://ia.media-imdb.com/images/M/MV5BMTg0OTA5ODIxNF5BMl5BanBnXkFtZTcwNTUzNDg4OQ@@._V1_SX300.jpg,tt2226417,"83,574,831",PG-13,Insidious: Chapter 2,movie,13 Sep 2013,"102,720"
57076f1171a065033c87abad,"Biography, Comedy, Drama",125 min,Nominated for 1 Oscar. Another 12 wins & 71 nominations.,John Lee Hancock,English,"Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell",7.5,"UK, Australia, USA",True,65,"Kelly Marcel, Sue Smith",http://ia.media-imdb.com/images/M/MV5BMTc0MTQ3NzE4Nl5BMl5BanBnXkFtZTcwMzA4NDM5OQ@@._V1_SX300.jpg,tt2140373,"83,299,761",PG-13,Saving Mr. Banks,movie,20 Dec 2013,"114,138"
57076f1171a065033c87abae,"Animation, Adventure, Comedy",96 min,1 win & 11 nominations.,David Soren,English,"Ryan Reynolds, Paul Giamatti, Michael Peña, Samuel L. Jackson",6.5,USA,True,58,"Darren Lemke (screenplay, Robert D. Siegel (screenplay, David Soren (screenplay, David Soren (story)",http://ia.media-imdb.com/images/M/MV5BMTA4NTgwMjM5MzheQTJeQWpwZ15BbWU3MDg2ODA1ODk@._V1_SX300.jpg,tt1860353,"83,024,900",PG,Turbo,movie,17 Jul 2013,"59,414"
57076f1171a065033c87abaf,"Action, Comedy, Crime",109 min,2 wins.,Baltasar Kormákur,"English, Spanish","Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos",6.7,USA,True,55,"Blake Masters (screenplay, Steven Grant (based on the Boom! Studios graphic novels by)",http://ia.media-imdb.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg,tt1272878,"75,573,300",R,2 Guns,movie,02 Aug 2013,"151,775"
57076f1171a065033c87abb0,"Action, Drama, Thriller",131 min,3 wins & 9 nominations.,Roland Emmerich,English,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal, Jason Clarke",6.4,USA,True,52,James Vanderbilt,http://ia.media-imdb.com/images/M/MV5BMTAyNzQyNTcwNjVeQTJeQWpwZ15BbWU3MDAwOTQ4Nzk@._V1_SX300.jpg,tt2334879,"73,103,784",PG-13,White House Down,movie,28 Jun 2013,"157,194"
57076f1171a065033c87abb1,"Fantasy, Horror",100 min,11 wins & 15 nominations.,Andrés Muschietti,English,"Jessica Chastain, Nikolaj Coster-Waldau, Megan Charpentier, Isabelle Nélisse",6.2,"Canada, Spain",True,57,"Andrés Muschietti (story, Barbara Muschietti (story, Neil Cross (screenplay, Andrés Muschietti (screenplay, Barbara Muschietti (screenplay)",http://ia.media-imdb.com/images/M/MV5BMTM5MjIwNDAwMl5BMl5BanBnXkFtZTcwNzQyOTY0OA@@._V1_SX300.jpg,tt2023587,"71,588,220",PG-13,Mama,movie,18 Jan 2013,"129,756"
57076f1171a065033c87abb2,"Drama, Romance, Thriller",115 min,3 wins & 6 nominations.,Lasse Hallström,"English, Portuguese","Julianne Hough, Irene Ziegler, Jon Kohler, Tim Parati",6.7,USA,True,34,"Dana Stevens (screenplay, Gage Lansky (screenplay, Nicholas Sparks (based upon the novel by)",http://ia.media-imdb.com/images/M/MV5BMTg4MzcxODA3OV5BMl5BanBnXkFtZTcwMTYzNDkwOQ@@._V1_SX300.jpg,tt1702439,"71,346,930",PG-13,Safe Haven,movie,14 Feb 2013,"74,464"
57076f1171a065033c87abb3,"Animation, Adventure, Comedy",105 min,8 nominations.,Raja Gosnell,"English, French","Hank Azaria, Neil Patrick Harris, Brendan Gleeson, Jayma Mays",5.4,USA,True,34,"J. David Stem (screenplay, David N. Weiss (screenplay, Jay Scherick (screenplay, David Ronn (screenplay, Karey Kirkpatrick (screenplay, J. David Stem (story, David N. Weiss (story, Jay Scherick (story, David Ronn (story, Peyo (characters and works)",http://ia.media-imdb.com/images/M/MV5BNzVkMDRlYzItOTUyOS00ZmU5LWEyN2EtMWE2YWU4MzBlOTBjXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_SX300.jpg,tt2017020,"71,017,784",PG,The Smurfs 2,movie,31 Jul 2013,"26,254"
57076f1171a065033c87abb4,"Comedy, Drama",123 min,3 wins & 15 nominations.,Malcolm D. Lee,English,"Monica Calhoun, Morris Chestnut, Melissa De Sousa, Taye Diggs",6.7,USA,True,59,"Malcolm D. Lee, Malcolm D. Lee (characters)",http://ia.media-imdb.com/images/M/MV5BMjU0MTI1MDg5Ml5BMl5BanBnXkFtZTgwNzc2MTMzMDE@._V1_SX300.jpg,tt2083355,"70,492,685",R,The Best Man Holiday,movie,15 Nov 2013,"11,293"
57076f1171a065033c87abb5,"Adventure, Family, Fantasy",106 min,1 win & 4 nominations.,Thor Freudenthal,English,"Logan Lerman, Alexandra Daddario, Douglas Smith, Leven Rambin",5.9,USA,True,39,"Marc Guggenheim (screenplay, Rick Riordan (based upon the novel \",http://ia.media-imdb.com/images/M/MV5BMTUwODUyODI0Nl5BMl5BanBnXkFtZTcwNzAxODY2OQ@@._V1_SX300.jpg,tt1854564,"68,558,662",PG,Percy Jackson: Sea of Monsters,movie,07 Aug 2013,"83,441"
