_id,Type,Response,imdbRating,Director,Poster,Metascore,Runtime,imdbID,Writer,imdbVotes,Box_office,Rated,Country,Title,Awards,Actors,Released,Language,Genre
56fb9e7b71a0651ba006578d,movie,True,6.1,Edward Zwick,http://ia.media-imdb.com/images/M/MV5BODkzMTIyNDA3OF5BMl5BanBnXkFtZTcwMTU0NTk5Mw@@._V1_SX300.jpg,N/A,113 min,tt0090583,"David Mamet (play, Tim Kazurinsky (screenplay, Denise DeClue (screenplay)","11,235","38,702,310",R,USA,About Last Night...,1 win.,"Rob Lowe, Demi Moore, James Belushi, Elizabeth Perkins",02 Jul 1986,English,"Comedy, Drama, Romance"
56fb9e7b71a0651ba006578e,movie,True,6.5,Peter Hyams,http://ia.media-imdb.com/images/M/MV5BMTYzMDYyNDYwNl5BMl5BanBnXkFtZTcwODM2OTY2NA@@._V1_SX300.jpg,N/A,107 min,tt0091875,"Gary DeVore (story, Gary DeVore (screenplay, Jimmy Huston (screenplay)","8,442","38,500,726",R,USA,Running Scared,Nominated for 1 Golden Globe. Another 2 wins.,"Gregory Hines, Billy Crystal, Steven Bauer, Darlanne Fluegel",27 Jun 1986,English,"Action, Comedy, Crime"
56fb9e7b71a0651ba006578f,movie,True,6.3,Richard Benjamin,http://ia.media-imdb.com/images/M/MV5BMTIzODEzODE2OF5BMl5BanBnXkFtZTcwNjQ3ODcyMQ@@._V1_SX300.jpg,N/A,91 min,tt0091541,David Giler,"36,427","37,499,651",PG,USA,The Money Pit,N/A,"Tom Hanks, Shelley Long, Alexander Godunov, Maureen Stapleton",26 Mar 1986,"English, Spanish, Chinese",Comedy
56fb9e7b71a0651ba0065790,movie,True,6.2,Ron Howard,http://ia.media-imdb.com/images/M/MV5BMTQ2OTg4Mzg0OF5BMl5BanBnXkFtZTcwOTAzMDQyMQ@@._V1_SX300.jpg,48,111 min,tt0091159,"Edwin Blum (story, Lowell Ganz (story, Babaloo Mandel (story, Lowell Ganz (screenplay, Babaloo Mandel (screenplay)","9,075","36,611,610",PG-13,USA,Gung Ho,1 win.,"Michael Keaton, Gedde Watanabe, George Wendt, Mimi Rogers",14 Mar 1986,English,"Comedy, Drama"
56fb9e7b71a0651ba0065791,movie,True,8.0,Woody Allen,http://ia.media-imdb.com/images/M/MV5BMjIwMTk0Njc4Nl5BMl5BanBnXkFtZTcwODc5MjkzNA@@._V1_SX300.jpg,90,103 min,tt0091167,Woody Allen,"51,032","40,084,041",PG-13,USA,Hannah and Her Sisters,Won 3 Oscars. Another 21 wins & 26 nominations.,"Barbara Hershey, Carrie Fisher, Michael Caine, Mia Farrow",14 Mar 1986,English,"Comedy, Drama"
56fb9e7b71a0651ba0065792,movie,True,5.9,Garry Marshall,http://ia.media-imdb.com/images/M/MV5BMjA2MzA4NTY1OF5BMl5BanBnXkFtZTcwMjIwMzgxMQ@@._V1_SX300.jpg,62,118 min,tt0091653,"Rick Podell, Michael Preminger","4,824","32,324,557",PG,USA,Nothing in Common,1 nomination.,"Tom Hanks, Jackie Gleason, Eva Marie Saint, Hector Elizondo",30 Jul 1986,English,"Comedy, Drama, Romance"
56fb9e7b71a0651ba0065793,movie,True,7.2,Randa Haines,http://ia.media-imdb.com/images/M/MV5BMTU1Mzg2MzQ4MV5BMl5BanBnXkFtZTcwNzAxMzUwMg@@._V1_SX300.jpg,N/A,119 min,tt0090830,"Mark Medoff (stage play, Hesper Anderson (screenplay, Mark Medoff (screenplay)","11,473","31,853,080",R,USA,Children of a Lesser God,Won 1 Oscar. Another 4 wins & 12 nominations.,"William Hurt, Marlee Matlin, Piper Laurie, Philip Bosco",31 Oct 1986,"English, American Sign Language","Drama, Romance"
56fb9e7b71a0651ba0065794,movie,True,5.8,Penny Marshall,http://ia.media-imdb.com/images/M/MV5BMTMzMTUxMzg2Ml5BMl5BanBnXkFtZTcwMjUyOTUyMQ@@._V1_SX300.jpg,N/A,105 min,tt0091306,"David Franzoni (story, David Franzoni (screenplay, Charles Shyer (screenplay, Nancy Meyers (screenplay, Chris Thompson (screenplay)","14,602","25,587,804",R,USA,Jumpin' Jack Flash,N/A,"Whoopi Goldberg, Stephen Collins, John Wood, Carol Kane",10 Oct 1986,English,"Comedy, Romance, Thriller"
56fb9e7b71a0651ba0065795,movie,True,7.6,David Anspaugh,http://ia.media-imdb.com/images/M/MV5BMTYyNTc0OTUwNV5BMl5BanBnXkFtZTcwODA3NzE0NA@@._V1_SX300.jpg,76,114 min,tt0091217,Angelo Pizzo,"33,206","28,607,524",PG,"UK, USA",Hoosiers,Nominated for 2 Oscars. Another 3 wins & 3 nominations.,"Gene Hackman, Barbara Hershey, Dennis Hopper, Sheb Wooley",27 Feb 1987,English,"Drama, Sport"
56fb9e7b71a0651ba0065796,movie,True,5.1,Steve Miner,http://ia.media-imdb.com/images/M/MV5BMTI5NzgxODY2Nl5BMl5BanBnXkFtZTcwNzAyMjMyMQ@@._V1_SX300.jpg,N/A,104 min,tt0091991,Carol Black,"5,930","27,820,000",PG-13,USA,Soul Man,N/A,"C. Thomas Howell, Rae Dawn Chong, Arye Gross, James Earl Jones",24 Oct 1986,English,"Comedy, Romance"
56fb9e7b71a0651ba0065797,movie,True,5.9,Michael Ritchie,http://ia.media-imdb.com/images/M/MV5BMzA0NTgzNDY5M15BMl5BanBnXkFtZTgwNTg0NDIxMDE@._V1_SX300.jpg,N/A,106 min,tt0092214,Ezra Sacks,"9,189","26,285,544",R,USA,Wildcats,1 nomination.,"Goldie Hawn, Swoosie Kurtz, Robyn Lively, Brandy Gold",14 Feb 1986,English,"Comedy, Sport"
56fb9e7b71a0651ba0065798,movie,True,7.2,"Ron Clements, Burny Mattinson, David Michener, John Musker",http://ia.media-imdb.com/images/M/MV5BMTUxNjY5MjU1MV5BMl5BanBnXkFtZTYwNjg2MzI5._V1_SX300.jpg,N/A,74 min,tt0091149,"Peter Young (story, Vance Gerry (story, Steve Hulett (story, Ron Clements (story, John Musker (story, Bruce Morris (story, Matthew O'Callaghan (story, Burny Mattinson (story, David Michener (story, Mel Shaw (story, Eve Titus (based on \","31,911","38,600,000",G,USA,The Great Mouse Detective,1 win & 3 nominations.,"Vincent Price, Barrie Ingham, Val Bettin, Susanne Pollatschek",02 Jul 1986,"English, French, German, Italian","Animation, Adventure, Family"
56fb9e7b71a0651ba0065799,movie,True,6.0,Mike Nichols,http://ia.media-imdb.com/images/M/MV5BMjA2MjYyMTEzMF5BMl5BanBnXkFtZTcwODUxODUyMQ@@._V1_SX300.jpg,N/A,108 min,tt0091188,"Nora Ephron (novel, Nora Ephron (screenplay)","6,615","25,314,289",R,USA,Heartburn,1 win.,"Meryl Streep, Jack Nicholson, Jeff Daniels, Maureen Stapleton",25 Jul 1986,English,"Comedy, Drama"
56fb9e7b71a0651ba006579a,movie,True,6.0,Sidney Lumet,http://ia.media-imdb.com/images/M/MV5BODQyNDA3MjUwM15BMl5BanBnXkFtZTcwNzI2MTQyMQ@@._V1_SX300.jpg,N/A,103 min,tt0091554,James Cresson,"4,490","25,100,000",R,USA,The Morning After,N/A,"Jane Fonda, Jeff Bridges, Raul Julia, Diane Salinger",25 Dec 1986,"English, French","Crime, Mystery, Romance"
56fb9e7b71a0651ba006579b,movie,True,5.3,Sidney J. Furie,http://ia.media-imdb.com/images/M/MV5BMTc5NzE4OTI0N15BMl5BanBnXkFtZTcwMjIwNDAzMQ@@._V1_SX300.jpg,N/A,117 min,tt0091278,"Kevin Alyn Elders, Sidney J. Furie","10,328","24,159,872",PG-13,"USA, Israel, Canada",Iron Eagle,N/A,"Louis Gossett Jr., Jason Gedrick, David Suchet, Larry B. Scott",17 Jan 1986,English,"Action, Thriller, War"
56fb9e7b71a0651ba006579c,movie,True,6.4,Bruce Beresford,http://ia.media-imdb.com/images/M/MV5BMTUyNzUwODM5N15BMl5BanBnXkFtZTgwMjkxNDkwMzE@._V1_SX300.jpg,N/A,105 min,tt0090886,"Beth Henley (screenplay, Beth Henley (play)","2,764","22,905,500",PG-13,USA,Crimes of the Heart,Nominated for 3 Oscars. Another 3 wins & 1 nomination.,"Diane Keaton, Jessica Lange, Sissy Spacek, Sam Shepard",23 Jan 1987,English,"Comedy, Drama"
56fb9e7b71a0651ba006579d,movie,True,6.1,Jeff Kanew,http://ia.media-imdb.com/images/M/MV5BMTMzMzYwNzkyM15BMl5BanBnXkFtZTcwNTIyNzUyMQ@@._V1_SX300.jpg,N/A,104 min,tt0092105,"James Orr, Jim Cruickshank","5,016","21,458,229",PG,USA,Tough Guys,N/A,"Burt Lancaster, Kirk Douglas, Charles Durning, Alexis Smith",03 Oct 1986,English,Comedy
56fb9e7b71a0651ba006579e,movie,True,6.6,Robert Mandel,http://ia.media-imdb.com/images/M/MV5BMTA1NTUxMjA4NjleQTJeQWpwZ15BbWU3MDY2NTA2NjQ@._V1_SX300.jpg,71,109 min,tt0089118,"Robert T. Megginson, Gregory Fleeman","13,002","20,603,715",R,USA,F/X,1 nomination.,"Bryan Brown, Brian Dennehy, Diane Venora, Cliff De Young",07 Feb 1986,English,"Action, Thriller"
56fb9e7b71a0651ba006579f,movie,True,5.9,Tom McLoughlin,http://ia.media-imdb.com/images/M/MV5BMTg1MjY1NTQ0N15BMl5BanBnXkFtZTYwODg1Mjc4._V1_SX300.jpg,N/A,86 min,tt0091080,Tom McLoughlin,"24,235","19,472,057",R,USA,Jason Lives: Friday the 13th Part VI,2 nominations.,"Thom Mathews, Jennifer Cooke, David Kagen, Kerry Noonan",01 Aug 1986,English,"Horror, Thriller"
56fb9e7b71a0651ba00657a0,movie,True,6.2,Steve Miner,http://ia.media-imdb.com/images/M/MV5BMTIwNzA2NzIxOF5BMl5BanBnXkFtZTcwNDMxNTUyMQ@@._V1_SX300.jpg,N/A,93 min,tt0091223,"Fred Dekker (story, Ethan Wiley (screenplay)","16,749","19,445,000",R,USA,House,1 win & 3 nominations.,"William Katt, George Wendt, Richard Moll, Kay Lenz",28 Feb 1986,English,"Comedy, Fantasy, Horror"
56fb9e7b71a0651ba00657a1,movie,True,6.9,Randal Kleiser,http://ia.media-imdb.com/images/M/MV5BMjEwMTcwNzU5Nl5BMl5BanBnXkFtZTcwMDM5OTUyMQ@@._V1_SX300.jpg,N/A,90 min,tt0091059,"Mark H. Baker (story, Michael Burton (screenplay, Matt MacManus (screenplay)","33,307","18,564,613",PG,"USA, Norway",Flight of the Navigator,4 nominations.,"Joey Cramer, Paul Reubens, Cliff De Young, Veronica Cartwright",30 Jul 1986,English,"Adventure, Family, Sci-Fi"
56fb9e7b71a0651ba00657a2,movie,True,6.2,Richard Pryor,http://ia.media-imdb.com/images/M/MV5BMjA5ODEwOTYyM15BMl5BanBnXkFtZTcwMzUxNTkyMQ@@._V1_SX300.jpg,N/A,97 min,tt0091295,"Rocco Urbisci, Paul Mooney, Richard Pryor","1,139","18,034,150",R,USA,"Jo Jo Dancer, Your Life Is Calling",1 nomination.,"Richard Pryor, Debbie Allen, Art Evans, Fay Hauser",02 May 1986,English,"Biography, Comedy, Drama"
56fb9e7b71a0651ba00657a3,movie,True,5.5,Menahem Golan,http://ia.media-imdb.com/images/M/MV5BMTM3NzY5MTg3MV5BMl5BanBnXkFtZTcwMjAwODM2NA@@._V1_SX300.jpg,N/A,125 min,tt0090927,"James Bruner, Menahem Golan","14,256","17,005,599",R,"USA, Israel",The Delta Force,1 nomination.,"Chuck Norris, Lee Marvin, Martin Balsam, Joey Bishop",14 Feb 1986,"English, Arabic, Hebrew, Greek","Action, Adventure, Drama"
56fb9e7b71a0651ba00657a4,movie,True,7.5,Roland Joffé,http://ia.media-imdb.com/images/M/MV5BNzE5NTM3NTkxNV5BMl5BanBnXkFtZTcwNTkwMzczMg@@._V1_SX300.jpg,N/A,125 min,tt0091530,Robert Bolt (original story & screenplay),"42,885","17,218,000",PG,"UK, France",The Mission,Won 1 Oscar. Another 12 wins & 27 nominations.,"Robert De Niro, Jeremy Irons, Ray McAnally, Aidan Quinn",31 Oct 1986,"English, Guarani, Spanish, Latin","Adventure, Drama, History"
56fb9e7b71a0651ba00657a5,movie,True,4.5,Willard Huyck,http://ia.media-imdb.com/images/M/MV5BMTk2MzczNjA0Ml5BMl5BanBnXkFtZTYwMTI2MTQ5._V1_SX300.jpg,N/A,110 min,tt0091225,"Steve Gerber (Marvel comics character: Howard the Duck, Willard Huyck, Gloria Katz","32,729","16,295,774",PG,USA,Howard the Duck,5 wins & 4 nominations.,"Lea Thompson, Jeffrey Jones, Tim Robbins, Ed Gale",01 Aug 1986,English,"Action, Adventure, Comedy"
56fb9e7b71a0651ba00657a6,movie,True,5.5,John Irvin,http://ia.media-imdb.com/images/M/MV5BNjYwNjY4MTQzN15BMl5BanBnXkFtZTcwOTM4OTQyMQ@@._V1_SX300.jpg,N/A,106 min,tt0091828,"Luciano Vincenzoni (story, Sergio Donati (story, Gary DeVore (screenplay, Norman Wexler (screenplay)","22,319","16,209,459",R,"USA, Netherlands",Raw Deal,N/A,"Arnold Schwarzenegger, Kathryn Harrold, Sam Wanamaker, Paul Shenar",06 Jun 1986,English,"Action, Crime, Thriller"
56fb9e7b71a0651ba00657a7,movie,True,5.5,Mark L. Lester,http://ia.media-imdb.com/images/M/MV5BMTM2NjgwODg2M15BMl5BanBnXkFtZTcwNDIwNDUyMQ@@._V1_SX300.jpg,N/A,88 min,tt0090660,"Brian Grazer (story, Harold Ramis (story, James Keach (story, Pj Torokvei (screenplay)","8,265","15,945,534",PG-13,USA,Armed and Dangerous,N/A,"John Candy, Eugene Levy, Robert Loggia, Kenneth McMillan",15 Aug 1986,English,"Action, Comedy, Crime"
56fb9e7b71a0651ba00657a8,game,True,N/A,N/A,N/A,N/A,N/A,tt2147448,N/A,N/A,,N/A,"Japan, South Korea",Legend,N/A,N/A,01 Feb 1986,English,"Adventure, Fantasy"
56fb9e7b71a0651ba00657a9,movie,True,6.0,Peter Markle,http://ia.media-imdb.com/images/M/MV5BMTkzNzM0NzY5OF5BMl5BanBnXkFtZTcwODgyMzk3NA@@._V1_SX300.jpg,N/A,110 min,tt0092272,"Peter Markle (story, John Whitman (story, Peter Markle (screenplay)","9,655","15,448,400",R,USA,Youngblood,1 win.,"Rob Lowe, Cynthia Gibb, Patrick Swayze, Ed Lauter",31 Jan 1986,English,"Drama, Romance, Sport"
