_id,Response,Language,imdbVotes,Runtime,Released,Actors,Writer,Director,Country,Genre,Poster,imdbRating,Metascore,Box_office,Type,Rated,Awards,Title,imdbID
56fb882271a0651a3c24f7c7,True,English,"61,977",97 min,21 Aug 1981,"Joe Belcher, David Naughton, Griffin Dunne, David Schofield",John Landis,John Landis,"UK, USA","Comedy, Fantasy, Horror",http://ia.media-imdb.com/images/M/MV5BNTYzMDk3MzIyNV5BMl5BanBnXkFtZTgwOTM2OTE4MzE@._V1_SX300.jpg,7.6,60,,movie,R,Won 1 Oscar. Another 2 wins & 3 nominations.,An American Werewolf in London,tt0082010
56fb882271a0651a3c24f7c8,True,English,"4,225",125 min,06 Feb 1981,"Paul Newman, Edward Asner, Ken Wahl, Danny Aiello","Heywood Gould, Thomas Mulhearn (suggested by the experiences of, Pete Tessitore (suggested by the experiences of)",Daniel Petrie,USA,"Crime, Drama",http://ia.media-imdb.com/images/M/MV5BMTQ0NDA1MzA0NF5BMl5BanBnXkFtZTcwMzQ5NDQyMQ@@._V1_SX300.jpg,6.7,N/A,"29,200,000",movie,R,N/A,Fort Apache the Bronx,tt0082402
56fb882271a0651a3c24f7c9,True,English,"8,890",124 min,16 Oct 1981,"Meryl Streep, Jeremy Irons, Hilton McRae, Emily Morgan","John Fowles (novel, Harold Pinter (screenplay)",Karel Reisz,UK,"Drama, Romance",http://ia.media-imdb.com/images/M/MV5BMTIzMzU3NDE0OF5BMl5BanBnXkFtZTcwNDc2OTEyMQ@@._V1_SX300.jpg,7.0,N/A,,movie,R,Nominated for 5 Oscars. Another 9 wins & 14 nominations.,The French Lieutenant's Woman,tt0082416
56fb882271a0651a3c24f7ca,True,English,"2,210",87 min,28 Aug 1981,"Sylvia Kristel, Howard Hesseman, Eric Brown, Patrick Piccininni","Dan Greenburg (novel, Dan Greenburg (screenplay)",Alan Myerson,USA,Comedy,http://ia.media-imdb.com/images/M/MV5BMTIyOTg3NDAzMl5BMl5BanBnXkFtZTcwNjU4NDQzMQ@@._V1_SX300.jpg,5.1,N/A,"26,279,000",movie,R,1 nomination.,Private Lessons,tt0082948
56fb882271a0651a3c24f7cb,True,English,"3,819",89 min,25 Dec 1981,"Chevy Chase, Patti D'Arbanville, Dabney Coleman, Mary Kay Place","Ken Shapiro, Tom Sherohman, Arthur Sellers (screenplay)",Ken Shapiro,USA,"Comedy, Fantasy, Sci-Fi",http://ia.media-imdb.com/images/M/MV5BMTc1NzA5Njc1M15BMl5BanBnXkFtZTcwNjcwMjgyMQ@@._V1_SX300.jpg,4.9,N/A,,movie,PG,1 nomination.,Modern Problems,tt0082763
56fb882271a0651a3c24f7cc,True,English,"49,097",92 min,30 Oct 1981,"Jamie Lee Curtis, Donald Pleasence, Charles Cyphers, Jeffrey Kramer","John Carpenter, Debra Hill",Rick Rosenthal,USA,Horror,"http://ia.media-imdb.com/images/M/MV5BMzc5MDQzNjkyOV5BMl5BanBnXkFtZTgwNTgxMzkwMzE@._V1._CR0,43,342,455_SY132_CR5,0,89,132_AL_.jpg_V1_SX300.jpg",6.5,40,"25,500,000",movie,R,3 nominations.,Halloween II,tt0082495
56fb882271a0651a3c24f7cd,True,English,898,120 min,25 Sep 1981,"Marsha Mason, Kristy McNichol, James Coco, Joan Hackett","Neil Simon (screenplay, Neil Simon (based on the play \",Glenn Jordan,USA,"Comedy, Drama",http://ia.media-imdb.com/images/M/MV5BMTM1ODU5ODQ4Ml5BMl5BanBnXkFtZTcwMDQ1ODM4Mg@@._V1_SX300.jpg,6.5,N/A,,movie,R,Nominated for 3 Oscars. Another 2 wins & 5 nominations.,Only When I Laugh,tt0082853
56fb882271a0651a3c24f7ce,True,English,"87,459",99 min,10 Jul 1981,"Kurt Russell, Lee Van Cleef, Ernest Borgnine, Donald Pleasence","John Carpenter, Nick Castle",John Carpenter,"UK, USA","Action, Sci-Fi",http://ia.media-imdb.com/images/M/MV5BMTUzMTY0Nzg0MV5BMl5BanBnXkFtZTgwMDU3MzQxMDE@._V1_SX300.jpg,7.2,N/A,"25,244,700",movie,R,4 nominations.,Escape from New York,tt0082340
56fb882271a0651a3c24f7cf,True,English,"22,621",113 min,18 Sep 1981,"William Hurt, Kathleen Turner, Richard Crenna, Ted Danson",Lawrence Kasdan,Lawrence Kasdan,USA,"Crime, Drama, Thriller",http://ia.media-imdb.com/images/M/MV5BMTEwMjA1NjkzMDdeQTJeQWpwZ15BbWU3MDY0MDYxMjE@._V1_SX300.jpg,7.4,78,,movie,R,Nominated for 1 Golden Globe. Another 5 nominations.,Body Heat,tt0082089
56fb882271a0651a3c24f7d0,True,English,"5,437",110 min,18 Dec 1981,"Fred Astaire, Melvyn Douglas, Douglas Fairbanks Jr., John Houseman","Peter Straub (novel, Lawrence D. Cohen (screenplay)",John Irvin,USA,"Drama, Horror, Thriller",http://ia.media-imdb.com/images/M/MV5BMjA3NTcxMDI4Nl5BMl5BanBnXkFtZTcwMTUzNDYyMQ@@._V1_SX300.jpg,6.2,N/A,,movie,R,2 nominations.,Ghost Story,tt0082449
