_id,imdbID,Rated,Runtime,imdbVotes,Response,Type,Country,Genre,Awards,Box_office,Writer,Title,Metascore,Actors,imdbRating,Released,Director,Poster,Language
56fbd87371a065035853a34a,tt0164912,PG,84 min,"90,490",True,movie,"Germany, USA","Animation, Adventure, Comedy",Nominated for 1 Oscar. Another 7 wins & 12 nominations.,,"E.B. White (book, M. Night Shyamalan (screenplay, Greg Brooker (screenplay)",Stuart Little,61,"Michael J. Fox, Geena Davis, Hugh Laurie, Jonathan Lipnicki",5.9,17 Dec 1999,Rob Minkoff,http://ia.media-imdb.com/images/M/MV5BMjAzNTM1MTU4NV5BMl5BanBnXkFtZTYwNjQ3Mjk4._V1_SX300.jpg,"English, Dutch"
56fbd87371a065035853a34b,tt0120689,R,189 min,"747,946",True,movie,USA,"Crime, Drama, Fantasy",Nominated for 4 Oscars. Another 14 wins & 30 nominations.,,"Stephen King (novel, Frank Darabont (screenplay)",The Green Mile,61,"Tom Hanks, David Morse, Michael Clarke Duncan, Bonnie Hunt",8.5,10 Dec 1999,Frank Darabont,http://ia.media-imdb.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_SX300.jpg,"English, French"
56fbd87371a065035853a34c,tt0169547,R,122 min,"791,371",True,movie,USA,"Drama, Romance",Won 5 Oscars. Another 102 wins & 96 nominations.,,Alan Ball,American Beauty,86,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",8.4,01 Oct 1999,Sam Mendes,http://ia.media-imdb.com/images/M/MV5BMjM4NTI5NzYyNV5BMl5BanBnXkFtZTgwNTkxNTYxMTE@._V1_SX300.jpg,English
56fbd87371a065035853a34d,tt0143145,PG-13,128 min,"154,128",True,movie,"UK, USA","Action, Adventure, Thriller",6 wins & 11 nominations.,"126,930,660","Neal Purvis (story, Robert Wade (story, Neal Purvis (screenplay, Robert Wade (screenplay, Bruce Feirstein (screenplay)",The World Is Not Enough,57,"Pierce Brosnan, Sophie Marceau, Robert Carlyle, Denise Richards",6.4,19 Nov 1999,Michael Apted,http://ia.media-imdb.com/images/M/MV5BMjA0MzUyNjg0MV5BMl5BanBnXkFtZTcwNDY5MDg0NA@@._V1_SX300.jpg,"English, Russian, Spanish"
56fbd87371a065035853a34e,tt0150377,R,105 min,"55,003",True,movie,"USA, Germany, Canada","Crime, Mystery, Thriller",1 win & 3 nominations.,"116,735,231","David Weisberg, Douglas Cook",Double Jeopardy,40,"Tommy Lee Jones, Ashley Judd, Benjamin Weir, Jay Brazeau",6.4,24 Sep 1999,Bruce Beresford,http://ia.media-imdb.com/images/M/MV5BMTQ3OTU3MTIyNV5BMl5BanBnXkFtZTcwMDY0NjIyMQ@@._V1_SX300.jpg,English
56fbd87371a065035853a34f,tt0125439,PG-13,124 min,"196,739",True,movie,"UK, USA","Comedy, Drama, Romance",Nominated for 3 Golden Globes. Another 12 wins & 14 nominations.,,Richard Curtis,Notting Hill,66,"Julia Roberts, Hugh Grant, Richard McCabe, Rhys Ifans",7.0,28 May 1999,Roger Michell,http://ia.media-imdb.com/images/M/MV5BMTQ4MDg5MTE1N15BMl5BanBnXkFtZTgwNDA4NjQxMTE@._V1_SX300.jpg,"English, Spanish"
56fbd87371a065035853a350,tt0120891,PG-13,106 min,"126,849",True,movie,USA,"Action, Western, Comedy",10 wins & 12 nominations.,"113,745,408","Jim Thomas (story, John Thomas (story, S.S. Wilson (screenplay, Brent Maddock (screenplay, Jeffrey Price (screenplay, Peter S. Seaman (screenplay)",Wild Wild West,38,"Will Smith, Kevin Kline, Kenneth Branagh, Salma Hayek",4.8,30 Jun 1999,Barry Sonnenfeld,http://ia.media-imdb.com/images/M/MV5BNDI5NDk5MjgxMl5BMl5BanBnXkFtZTcwNjI1MTUyMQ@@._V1_SX300.jpg,English
56fbd87371a065035853a351,tt0122933,R,103 min,"121,556",True,movie,"USA, Australia","Comedy, Crime",Nominated for 2 Golden Globes. Another 4 wins & 5 nominations.,,"Kenneth Lonergan (story, Peter Tolan (story, Peter Tolan (screenplay, Harold Ramis (screenplay, Kenneth Lonergan (screenplay)",Analyze This,61,"Robert De Niro, Billy Crystal, Lisa Kudrow, Chazz Palminteri",6.7,05 Mar 1999,Harold Ramis,http://ia.media-imdb.com/images/M/MV5BMTQxNjM3ODQ0OF5BMl5BanBnXkFtZTgwNjk1Mzk5MDE@._V1_SX300.jpg,English
56fbd87371a065035853a352,tt0144214,R,116 min,"41,596",True,movie,"USA, Germany","Drama, Mystery, Thriller",3 wins & 5 nominations.,,"Nelson DeMille (novel, Christopher Bertolini (screenplay, William Goldman (screenplay)",The General's Daughter,47,"John Travolta, Madeleine Stowe, James Cromwell, Timothy Hutton",6.3,18 Jun 1999,Simon West,http://ia.media-imdb.com/images/M/MV5BMTg1NTkyMzgxOV5BMl5BanBnXkFtZTYwMDc5NjI5._V1_SX300.jpg,English
56fbd87371a065035853a353,tt0163651,R,95 min,"308,228",True,movie,USA,"Comedy, Romance",9 wins & 14 nominations.,,Adam Herz,American Pie,58,"Jason Biggs, Chris Klein, Thomas Ian Nicholas, Alyson Hannigan",7.0,09 Jul 1999,"Paul Weitz, Chris Weitz",http://ia.media-imdb.com/images/M/MV5BMTg3ODY5ODI1NF5BMl5BanBnXkFtZTgwMTkxNTYxMTE@._V1_SX300.jpg,English
56fbd87371a065035853a354,tt0162661,R,105 min,"258,998",True,movie,"USA, Germany","Drama, Horror, Mystery",Won 1 Oscar. Another 23 wins & 39 nominations.,"101,068,340","Washington Irving (story, Kevin Yagher (screen story, Andrew Kevin Walker (screen story, Andrew Kevin Walker (screenplay)",Sleepy Hollow,65,"Johnny Depp, Christina Ricci, Miranda Richardson, Michael Gambon",7.4,19 Nov 1999,Tim Burton,http://ia.media-imdb.com/images/M/MV5BMTY4NjMzNDY2N15BMl5BanBnXkFtZTcwNDMyMDI5MQ@@._V1_SX300.jpg,"English, Latin"
56fbd87371a065035853a355,tt0141369,PG,78 min,"35,379",True,movie,USA,"Action, Adventure, Comedy",1 win & 7 nominations.,,"Andy Heyward (characters, Jean Chalopin (characters, Bruno Bianchi (characters, Dana Olsen (story, Kerry Ehrin (story, Kerry Ehrin (screenplay, Zak Penn (screenplay)",Inspector Gadget,36,"Matthew Broderick, Rupert Everett, Joely Fisher, Michelle Trachtenberg",4.1,23 Jul 1999,David Kellogg,http://ia.media-imdb.com/images/M/MV5BMTU5NDkwMTUxN15BMl5BanBnXkFtZTcwNzM2OTMyMQ@@._V1_SX300.jpg,"English, Norwegian, French, Spanish"
56fbd87371a065035853a356,tt0171363,PG-13,113 min,"57,124",True,movie,USA,"Fantasy, Horror, Mystery",2 wins & 11 nominations.,,"David Self (screenplay, Shirley Jackson (novel)",The Haunting,N/A,"Liam Neeson, Catherine Zeta-Jones, Owen Wilson, Lili Taylor",4.9,23 Jul 1999,Jan de Bont,http://ia.media-imdb.com/images/M/MV5BMTY4ODczMTMxNV5BMl5BanBnXkFtZTYwMTI4Nzc5._V1_SX300.jpg,English
56fbd87371a065035853a357,tt0137494,PG-13,113 min,"85,564",True,movie,"USA, UK, Germany","Action, Crime, Romance",4 wins & 5 nominations.,,"Ronald Bass (story, Michael Hertzberg (story, Ronald Bass (screenplay, William Broyles Jr. (screenplay)",Entrapment,54,"Sean Connery, Catherine Zeta-Jones, Ving Rhames, Will Patton",6.2,30 Apr 1999,Jon Amiel,http://ia.media-imdb.com/images/M/MV5BMTAxNDQzNzAzMDZeQTJeQWpwZ15BbWU4MDYwNjM5OTAx._V1_SX300.jpg,English
56fbd87371a065035853a358,tt0120784,R,100 min,"109,366",True,movie,USA,"Action, Crime, Drama",2 wins & 2 nominations.,"81,517,441","Donald E. Westlake (novel, Brian Helgeland (screenplay, Terry Hayes (screenplay)",Payback,46,"Mel Gibson, Gregg Henry, Maria Bello, David Paymer",7.1,05 Feb 1999,Brian Helgeland,http://ia.media-imdb.com/images/M/MV5BMjEzNTcxNzU0Ml5BMl5BanBnXkFtZTgwNjIwODQxMTE@._V1_SX300.jpg,English
56fbd87371a065035853a359,tt0134119,R,139 min,"133,626",True,movie,USA,"Crime, Drama, Thriller",Nominated for 5 Oscars. Another 10 wins & 75 nominations.,"81,292,135","Patricia Highsmith (novel, Anthony Minghella (screenplay)",The Talented Mr. Ripley,76,"Matt Damon, Gwyneth Paltrow, Jude Law, Cate Blanchett",7.3,25 Dec 1999,Anthony Minghella,http://ia.media-imdb.com/images/M/MV5BMTg5NzQ4ODU1OF5BMl5BanBnXkFtZTgwNjkxNTYxMTE@._V1_SX300.jpg,"English, Italian"
56fbd87371a065035853a35a,tt0146838,R,162 min,"95,478",True,movie,USA,"Drama, Sport",3 wins & 9 nominations.,,"Daniel Pyne (screen story, John Logan (screen story, John Logan (screenplay, Oliver Stone (screenplay)",Any Given Sunday,52,"Al Pacino, Cameron Diaz, Dennis Quaid, James Woods",6.8,22 Dec 1999,Oliver Stone,http://ia.media-imdb.com/images/M/MV5BMTk1NTg3MjY0Nl5BMl5BanBnXkFtZTgwOTE5MDgxMTE@._V1_SX300.jpg,English
56fbd87371a065035853a35b,tt0149261,R,105 min,"96,075",True,movie,"USA, Australia","Action, Sci-Fi, Thriller",2 wins & 3 nominations.,,"Duncan Kennedy, Donna Powers, Wayne Powers",Deep Blue Sea,54,"Thomas Jane, Saffron Burrows, Samuel L. Jackson, Jacqueline McKenzie",5.8,28 Jul 1999,Renny Harlin,http://ia.media-imdb.com/images/M/MV5BMTU2NzM2Mjg2Ml5BMl5BanBnXkFtZTYwNjI5Mjg5._V1_SX300.jpg,"English, Spanish"
56fbd87371a065035853a35c,tt0177789,PG,102 min,"120,526",True,movie,USA,"Adventure, Comedy, Sci-Fi",7 wins & 14 nominations.,,"David Howard (story, David Howard (screenplay, Robert Gordon (screenplay)",Galaxy Quest,70,"Tim Allen, Sigourney Weaver, Alan Rickman, Tony Shalhoub",7.3,25 Dec 1999,Dean Parisot,http://ia.media-imdb.com/images/M/MV5BMjA0NjM1ODkyMl5BMl5BanBnXkFtZTcwODY0NDMzMg@@._V1_SX300.jpg,English
56fbd87371a065035853a35d,tt0155267,R,113 min,"71,744",True,movie,USA,"Crime, Romance, Thriller",3 wins & 2 nominations.,"69,304,264","Alan Trustman (story, Leslie Dixon (screenplay, Kurt Wimmer (screenplay)",The Thomas Crown Affair,72,"Pierce Brosnan, Rene Russo, Denis Leary, Ben Gazzara",6.8,06 Aug 1999,John McTiernan,http://ia.media-imdb.com/images/M/MV5BMTI0MzE4ODU0OF5BMl5BanBnXkFtZTYwMTQ4MDk5._V1_SX300.jpg,"English, German, Polish, French"
56fbd87371a065035853a35e,tt0181316,PG-13,93 min,"59,336",True,movie,"USA, Germany","Action, Comedy, Crime",N/A,"68,208,190","Michael Berry, John Blumenthal, Stephen Carpenter",Blue Streak,46,"Martin Lawrence, Luke Wilson, Peter Greene, Dave Chappelle",6.3,17 Sep 1999,Les Mayfield,http://ia.media-imdb.com/images/M/MV5BMjA1NDQ2MDU0MV5BMl5BanBnXkFtZTcwNjU2MDQyMQ@@._V1_SX300.jpg,"English, Spanish"
56fbd87371a065035853a35f,tt0146675,R,121 min,"87,637",True,movie,USA,"Action, Fantasy, Horror",1 win & 6 nominations.,"66,862,068",Andrew W. Marlowe,End of Days,33,"Arnold Schwarzenegger, Gabriel Byrne, Robin Tunney, Kevin Pollak",5.7,24 Nov 1999,Peter Hyams,http://ia.media-imdb.com/images/M/MV5BMjExNjM5MzMwM15BMl5BanBnXkFtZTYwNjc2Njk4._V1_SX300.jpg,"English, Latin"
56fbd87371a065035853a360,tt0145681,R,118 min,"116,478",True,movie,"USA, Canada","Crime, Drama, Mystery",3 nominations.,"66,488,090","Jeffery Deaver (book, Jeremy Iacone (screenplay)",The Bone Collector,45,"Denzel Washington, Angelina Jolie, Queen Latifah, Michael Rooker",6.7,05 Nov 1999,Phillip Noyce,http://ia.media-imdb.com/images/M/MV5BMjAyNTUyNjkzNl5BMl5BanBnXkFtZTgwMTk3ODYxMTE@._V1_SX300.jpg,English
56fbd87371a065035853a361,tt0131325,PG-13,97 min,"55,662",True,movie,USA,Comedy,6 nominations.,,Steve Martin,Bowfinger,71,"Steve Martin, Eddie Murphy, Heather Graham, Christine Baranski",6.4,13 Aug 1999,Frank Oz,http://ia.media-imdb.com/images/M/MV5BMTI4MTQwMDI3M15BMl5BanBnXkFtZTcwNTI4MzUxMQ@@._V1_SX300.jpg,English
56fbd87371a065035853a362,tt0205000,R,88 min,"57,834",True,movie,USA,"Comedy, Romance",2 nominations.,,"Harris Goldberg, Rob Schneider",Deuce Bigalow: Male Gigolo,30,"Rob Schneider, William Forsythe, Eddie Griffin, Arija Bareikis",5.7,10 Dec 1999,Mike Mitchell,http://ia.media-imdb.com/images/M/MV5BNjg4OTE5ODAzM15BMl5BanBnXkFtZTcwODY4NTMzMQ@@._V1_SX300.jpg,English
56fbd87371a065035853a363,tt0123964,R,108 min,"33,181",True,movie,USA,"Comedy, Crime, Drama",Nominated for 1 Oscar. Another 1 win & 5 nominations.,,"Robert Ramsey, Matthew Stone",Life,63,"Eddie Murphy, Martin Lawrence, Obba Babatundé, Nick Cassavetes",6.7,16 Apr 1999,Ted Demme,http://ia.media-imdb.com/images/M/MV5BMjAwMTEwMDAwMl5BMl5BanBnXkFtZTcwODk4NDgyMQ@@._V1_SX300.jpg,English
56fbd87371a065035853a364,tt0160862,PG-13,95 min,"65,134",True,movie,USA,"Comedy, Romance",8 wins & 5 nominations.,,R. Lee Fleming Jr.,She's All That,51,"Freddie Prinze Jr., Rachael Leigh Cook, Matthew Lillard, Paul Walker",5.8,29 Jan 1999,Robert Iscove,http://ia.media-imdb.com/images/M/MV5BMTcyNDQwNzY3Nl5BMl5BanBnXkFtZTcwODkwNzYxMQ@@._V1_SX300.jpg,English
56fbd87371a065035853a365,tt0120188,R,114 min,"135,602",True,movie,"USA, Australia","Action, Adventure, Comedy",8 wins & 19 nominations.,,"John Ridley (story, David O. Russell (screenplay)",Three Kings,82,"George Clooney, Mark Wahlberg, Ice Cube, Spike Jonze",7.2,01 Oct 1999,David O. Russell,http://ia.media-imdb.com/images/M/MV5BMTI0ODg0NTA4Ml5BMl5BanBnXkFtZTcwNDEwNTEzMQ@@._V1_SX300.jpg,"English, Arabic"
56fbd87371a065035853a366,tt0182789,PG,132 min,"85,185",True,movie,"USA, Germany","Comedy, Drama, Sci-Fi",Nominated for 1 Oscar. Another 1 win & 6 nominations.,"58,220,776",Isaac Asimov (short story \,Bicentennial Man,42,"Robin Williams, Embeth Davidtz, Sam Neill, Oliver Platt",6.8,17 Dec 1999,Chris Columbus,http://ia.media-imdb.com/images/M/MV5BMTczMzQyNTgxMF5BMl5BanBnXkFtZTYwMDY5MzI5._V1_SX300.jpg,English
56fbd87371a065035853a367,tt0124315,PG-13,126 min,"77,542",True,movie,USA,"Drama, Romance",Won 2 Oscars. Another 6 wins & 28 nominations.,"1,652,637","John Irving (novel, John Irving (screenplay)",The Cider House Rules,75,"Tobey Maguire, Charlize Theron, Delroy Lindo, Paul Rudd",7.4,07 Jan 2000,Lasse Hallström,http://ia.media-imdb.com/images/M/MV5BOTYwNjU2NjUzNF5BMl5BanBnXkFtZTgwNTgyMDUxMDE@._V1_SX300.jpg,English
56fbd87371a065035853a368,tt0120663,R,159 min,"220,934",True,movie,"UK, USA","Drama, Mystery, Thriller",Nominated for 1 Golden Globe. Another 6 wins & 24 nominations.,,"Stanley Kubrick (screenplay, Frederic Raphael (screenplay, Arthur Schnitzler (inspired by the novel by)",Eyes Wide Shut,68,"Tom Cruise, Nicole Kidman, Sydney Pollack, Marie Richardson",7.3,16 Jul 1999,Stanley Kubrick,http://ia.media-imdb.com/images/M/MV5BMjA5NTUwNjI1N15BMl5BanBnXkFtZTYwOTE1ODc5._V1_SX300.jpg,English
56fbd87371a065035853a369,tt0151738,PG-13,107 min,"66,124",True,movie,USA,"Comedy, Drama, Romance",2 wins & 8 nominations.,,"Abby Kohn, Marc Silverstein",Never Been Kissed,60,"Drew Barrymore, David Arquette, Michael Vartan, Molly Shannon",6.0,09 Apr 1999,Raja Gosnell,http://ia.media-imdb.com/images/M/MV5BMTQyODI1Njg3Ml5BMl5BanBnXkFtZTcwNTI0MDcyMQ@@._V1_SX300.jpg,English
56fbd87371a065035853a36a,tt0139699,R,106 min,"34,495",True,movie,USA,"Comedy, Drama, Romance",2 wins & 4 nominations.,,W. Peter Iliff,Varsity Blues,50,"James Van Der Beek, Jon Voight, Paul Walker, Ron Lester",6.4,15 Jan 1999,Brian Robbins,http://ia.media-imdb.com/images/M/MV5BMTc2OTMxOTQzNV5BMl5BanBnXkFtZTgwMzAxNzQxMTE@._V1_SX300.jpg,English
56fbd87371a065035853a36b,tt0141098,PG-13,105 min,"26,085",True,movie,USA,"Comedy, Romance",2 wins & 5 nominations.,,Marc Lawrence,Forces of Nature,46,"Ben Affleck, Sandra Bullock, Maura Tierney, Steve Zahn",5.4,19 Mar 1999,Bronwen Hughes,http://ia.media-imdb.com/images/M/MV5BMTI4MjYwMzk5MF5BMl5BanBnXkFtZTYwNTY1MzA5._V1_SX300.jpg,English
56fbd87371a065035853a36c,tt0139462,PG-13,131 min,"28,170",True,movie,USA,"Drama, Romance",5 nominations.,,"Nicholas Sparks (novel, Gerald Di Pego (screenplay)",Message in a Bottle,39,"Kevin Costner, Robin Wright, Paul Newman, John Savage",6.1,12 Feb 1999,Luis Mandoki,http://ia.media-imdb.com/images/M/MV5BMTQyMDMxMDkwNV5BMl5BanBnXkFtZTcwMDQ0NzcyMQ@@._V1_SX300.jpg,English
56fbd87371a065035853a36d,tt0174856,R,146 min,"74,243",True,movie,USA,"Biography, Drama, Sport",Nominated for 1 Oscar. Another 7 wins & 16 nominations.,,"Rubin 'Hurricane' Carter (book, Sam Chaiton (book, Terry Swinton (book, Armyan Bernstein (screenplay, Dan Gordon (screenplay)",The Hurricane,74,"Denzel Washington, Vicellous Reon Shannon, Deborah Kara Unger, Liev Schreiber",7.6,14 Jan 2000,Norman Jewison,http://ia.media-imdb.com/images/M/MV5BMTA3OTYxMzg0MDFeQTJeQWpwZ15BbWU4MDY1MjY0MTEx._V1_SX300.jpg,English
56fbd87371a065035853a36e,tt0145531,R,103 min,"53,373",True,movie,USA,Horror,6 nominations.,,"Tom Lazarus (story, Tom Lazarus (screenplay, Rick Ramage (screenplay)",Stigmata,28,"Patricia Arquette, Gabriel Byrne, Jonathan Pryce, Nia Long",6.2,10 Sep 1999,Rupert Wainwright,http://ia.media-imdb.com/images/M/MV5BMTQwMDA1NzI4OV5BMl5BanBnXkFtZTcwNzM4MjM3NA@@._V1_SX300.jpg,"English, Assyrian Neo-Aramaic, Portuguese, Italian, Aramaic"
56fbd87371a065035853a36f,tt0185371,R,93 min,"44,462",True,movie,USA,"Horror, Mystery, Thriller",1 win & 2 nominations.,,"Robb White (story, Dick Beebe (screenplay)",House on Haunted Hill,28,"Geoffrey Rush, Famke Janssen, Taye Diggs, Peter Gallagher",5.6,29 Oct 1999,William Malone,http://ia.media-imdb.com/images/M/MV5BMTQyNTM1NTQxM15BMl5BanBnXkFtZTYwMjk0MDM5._V1_SX300.jpg,English
56fbd87371a065035853a370,tt0166485,PG-13,148 min,"30,535",True,movie,USA,"Drama, History, Romance",Nominated for 2 Oscars. Another 12 nominations.,"39,251,128","Anna Leonowens (diaries, Steve Meerson (screenplay, Peter Krikes (screenplay)",Anna and the King,56,"Jodie Foster, Yun-Fat Chow, Bai Ling, Tom Felton",6.7,17 Dec 1999,Andy Tennant,http://ia.media-imdb.com/images/M/MV5BMTQ0Njk4Njc1NF5BMl5BanBnXkFtZTYwNjIyNDc4._V1_SX300.jpg,"English, Thai, French"
56fbd87371a065035853a371,tt0139134,R,97 min,"145,509",True,movie,USA,"Drama, Romance",7 wins & 13 nominations.,,"Choderlos de Laclos (novel, Roger Kumble (screenplay)",Cruel Intentions,56,"Sarah Michelle Gellar, Ryan Phillippe, Reese Witherspoon, Selma Blair",6.9,05 Mar 1999,Roger Kumble,http://ia.media-imdb.com/images/M/MV5BMjMxNjM5OTQ2M15BMl5BanBnXkFtZTgwNjUxNzYxMTE@._V1_SX300.jpg,"English, Vietnamese, French"
56fbd87371a065035853a372,tt0147800,PG-13,97 min,"213,405",True,movie,USA,"Comedy, Drama, Romance",2 wins & 13 nominations.,,"Karen McCullah, Kirsten Smith",10 Things I Hate About You,70,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik",7.2,31 Mar 1999,Gil Junger,http://ia.media-imdb.com/images/M/MV5BMTI4MzU5OTc2MF5BMl5BanBnXkFtZTYwNzQxMjc5._V1_SX300.jpg,"English, French"
56fbd87371a065035853a373,tt0137523,R,139 min,"1,287,410",True,movie,"USA, Germany",Drama,Nominated for 1 Oscar. Another 8 wins & 27 nominations.,"37,023,395","Chuck Palahniuk (novel, Jim Uhls (screenplay)",Fight Club,66,"Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf",8.9,15 Oct 1999,David Fincher,http://ia.media-imdb.com/images/M/MV5BMjIwNTYzMzE1M15BMl5BanBnXkFtZTcwOTE5Mzg3OA@@._V1_SX300.jpg,English
56fbd87371a065035853a374,tt0120764,PG,94 min,"10,654",True,movie,USA,"Comedy, Family, Sci-Fi",N/A,,"John L. Greene (television series My Favorite Martian, Sherri Stoner, Deanna Oliver",My Favorite Martian,N/A,"Christopher Lloyd, Jeff Daniels, Elizabeth Hurley, Daryl Hannah",4.9,12 Feb 1999,Donald Petrie,http://ia.media-imdb.com/images/M/MV5BMTYwMTk0MjYyMF5BMl5BanBnXkFtZTcwNDQ0MjcyMQ@@._V1_SX300.jpg,English
