_id,Actors,Released,Poster,Language,imdbID,Box_office,imdbVotes,Country,Writer,imdbRating,Genre,Awards,Rated,Runtime,Title,Metascore,Director,Type,Response
5706098371a0651ac0e5140c,"D.B. Sweeney, Alfre Woodard, Ossie Davis, Max Casella",19 May 2000,http://ia.media-imdb.com/images/M/MV5BMjA4OTUwNTIzOV5BMl5BanBnXkFtZTYwNzE3MjQ3._V1_SX300.jpg,English,tt0130623,,"37,154",USA,"Thom Enriquez (story, John Harrison (story, Robert Nelson Jacobs (story, Ralph Zondag (story, John Harrison (screenplay, Robert Nelson Jacobs (screenplay, Walon Green (based on an earlier screenplay by, Gregory Gunter (creative development, Shirley Pierce (additional written material, Jonathan Roberts (additional story material, Rhett Reese (additional story material, Tamara Lusher (additional story)",6.4,"Animation, Adventure, Family",4 wins & 20 nominations.,PG,82 min,Dinosaur,56,"Eric Leighton, Ralph Zondag",movie,True
5706098371a0651ac0e5140d,"Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang",12 Jan 2001,http://ia.media-imdb.com/images/M/MV5BMTY5MjM4NjIxOF5BMl5BanBnXkFtZTcwNDg5NzU2OQ@@._V1_SX300.jpg,Mandarin,tt0190332,"128,067,808","212,454","Taiwan, Hong Kong, USA, China","Du Lu Wang (book, Hui-Ling Wang (screenplay, James Schamus (screenplay, Kuo Jung Tsai (screenplay)",7.9,"Action, Drama, Romance",Won 4 Oscars. Another 95 wins & 126 nominations.,PG-13,120 min,"Crouching Tiger, Hidden Dragon",93,Ang Lee,movie,True
5706098371a0651ac0e5140e,"Julia Roberts, David Brisbin, Dawn Didawick, Albert Finney",17 Mar 2000,http://ia.media-imdb.com/images/M/MV5BMjMyMDMzMDg4M15BMl5BanBnXkFtZTgwNDc3ODYxMTE@._V1_SX300.jpg,English,tt0195685,"125,548,685","131,327",USA,Susannah Grant,7.3,"Biography, Drama",Won 1 Oscar. Another 31 wins & 57 nominations.,R,131 min,Erin Brockovich,73,Steven Soderbergh,movie,True
5706098371a0651ac0e5140f,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray",03 Nov 2000,http://ia.media-imdb.com/images/M/MV5BMTc4ODI1MzM5M15BMl5BanBnXkFtZTcwMTI2NDU2MQ@@._V1_SX300.jpg,"English, German, Finnish, Japanese, Cantonese",tt0160127,,"142,643","USA, Germany","Ryan Rowe, Ed Solomon, John August, Ivan Goff (TV series, Ben Roberts (TV series)",5.5,"Action, Adventure, Comedy",12 wins & 27 nominations.,PG-13,98 min,Charlie's Angels,52,McG,movie,True
5706098371a0651ac0e51410,"Benicio Del Toro, Jacob Vargas, Andrew Chavez, Michael Saucedo",05 Jan 2001,http://ia.media-imdb.com/images/M/MV5BMjA2MjA1MTA0OF5BMl5BanBnXkFtZTcwNTA5MTIzMQ@@._V1_SX300.jpg,"English, Spanish",tt0181865,"124,107,476","168,049","USA, Germany","Simon Moore (miniseries Traffik, Stephen Gaghan (screenplay)",7.6,"Crime, Drama, Thriller",Won 4 Oscars. Another 69 wins & 83 nominations.,R,147 min,Traffic,86,Steven Soderbergh,movie,True
5706098371a0651ac0e51411,"Martin Lawrence, Nia Long, Paul Giamatti, Jascha Washington",02 Jun 2000,http://ia.media-imdb.com/images/M/MV5BMTc4NTc0NzQ0OV5BMl5BanBnXkFtZTYwNDkxMjY5._V1_SX300.jpg,English,tt0208003,,"64,991","USA, Germany","Darryl Quarles (story, Darryl Quarles (screenplay, Don Rhymer (screenplay)",5.1,"Action, Comedy, Crime",1 win & 8 nominations.,PG-13,99 min,Big Momma's House,33,Raja Gosnell,movie,True
5706098371a0651ac0e51412,"Denzel Washington, Will Patton, Wood Harris, Ryan Hurst",29 Sep 2000,http://ia.media-imdb.com/images/M/MV5BMTczNTA2MDc0OF5BMl5BanBnXkFtZTYwMTg4MDY2._V1_SX300.jpg,English,tt0210945,,"156,369",USA,Gregory Allen Howard,7.8,"Biography, Drama, Sport",8 wins & 17 nominations.,PG,113 min,Remember the Titans,48,Boaz Yakin,movie,True
5706098371a0651ac0e51413,"Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs",28 Jun 2000,http://ia.media-imdb.com/images/M/MV5BMTkzMjE4ODU0MV5BMl5BanBnXkFtZTYwNTI2OTk2._V1_SX300.jpg,English,tt0187393,,"203,183","USA, Germany",Robert Rodat,7.1,"Action, Drama, History",Nominated for 3 Oscars. Another 8 wins & 18 nominations.,R,165 min,The Patriot,63,Roland Emmerich,movie,True
5706098371a0651ac0e51414,"Phil Daniels, Lynn Ferguson, Mel Gibson, Tony Haygarth",23 Jun 2000,http://ia.media-imdb.com/images/M/MV5BMTk1MjE3MjQ0OF5BMl5BanBnXkFtZTcwMTcyMTcyMQ@@._V1_SX300.jpg,English,tt0120630,,"136,669","UK, USA, France","Peter Lord (original story, Nick Park (original story, Karey Kirkpatrick (screenplay, Mark Burton (additional dialogue, John O'Farrell (additional dialogue)",7.0,"Animation, Family, Comedy",Nominated for 1 Golden Globe. Another 23 wins & 26 nominations.,G,84 min,Chicken Run,88,"Peter Lord, Nick Park",movie,True
5706098371a0651ac0e51415,"Sandra Bullock, Michael Caine, Benjamin Bratt, Candice Bergen",22 Dec 2000,http://ia.media-imdb.com/images/M/MV5BNzA5NTAwNDc4MF5BMl5BanBnXkFtZTYwNzM0OTg4._V1_SX300.jpg,"English, Russian, French, Hawaiian, Spanish",tt0212346,,"132,796","USA, Australia","Marc Lawrence, Katie Ford, Caryn Lucas",6.1,"Action, Comedy, Crime",Nominated for 2 Golden Globes. Another 7 wins & 5 nominations.,PG-13,109 min,Miss Congeniality,43,Donald Petrie,movie,True
5706098371a0651ac0e51416,"Denice Shakarian Halicki, Bobby Ore",N/A,N/A,English,tt0315906,,14,USA,N/A,7.1,Action,1 nomination.,N/A,N/A,Gone in 60 Seconds: The Ride,N/A,N/A,movie,True
5706098371a0651ac0e51417,"Bruce Willis, Samuel L. Jackson, Robin Wright, Spencer Treat Clark",22 Nov 2000,http://ia.media-imdb.com/images/M/MV5BMTQ5MzkyMjk2Nl5BMl5BanBnXkFtZTYwOTAxOTE3._V1_SX300.jpg,English,tt0217869,,"239,909",USA,M. Night Shyamalan,7.2,"Drama, Mystery, Sci-Fi",2 wins & 12 nominations.,PG-13,106 min,Unbreakable,62,M. Night Shyamalan,movie,True
5706098371a0651ac0e51418,"Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner",04 Aug 2000,http://ia.media-imdb.com/images/M/MV5BMTk4NzAwOTkwMF5BMl5BanBnXkFtZTYwMDM3MTM3._V1_SX300.jpg,English,tt0186566,,"58,890","USA, Australia","Ken Kaufman, Howard Klausner",6.4,"Action, Adventure, Thriller",Nominated for 1 Oscar. Another 4 wins & 6 nominations.,PG-13,130 min,Space Cowboys,73,Clint Eastwood,movie,True
5706098371a0651ac0e51419,"David Spade, John Goodman, Eartha Kitt, Patrick Warburton",15 Dec 2000,http://ia.media-imdb.com/images/M/MV5BMTMxNTY0MzU1MV5BMl5BanBnXkFtZTYwODgwNjQ3._V1_SX300.jpg,English,tt0120917,,"122,243",USA,"Chris Williams (story, Mark Dindal (story, David Reynolds (screenplay, Roger Allers (based on an original story by, Matthew Jacobs (based on an original story by, Stephen J. Anderson (additional story material, Don Hall (additional story material, John Norton (additional story material, Doug Frankel (additional story, Mark Kennedy (additional story, Mark Walton (additional story)",7.3,"Animation, Adventure, Comedy",Nominated for 1 Oscar. Another 8 wins & 27 nominations.,G,78 min,The Emperor's New Groove,70,Mark Dindal,movie,True
5706098371a0651ac0e5141a,"Liev Schreiber, Beth Toussaint, Roger Jackson, Kelly Rutherford",04 Feb 2000,http://ia.media-imdb.com/images/M/MV5BMTgxMzg2NzQ5NV5BMl5BanBnXkFtZTcwNTY0ODQ4NA@@._V1_SX300.jpg,English,tt0134084,,"95,707",USA,"Kevin Williamson (characters, Ehren Kruger",5.5,"Horror, Mystery",5 wins & 5 nominations.,R,116 min,Scream 3,56,Wes Craven,movie,True
5706098371a0651ac0e5141b,"Matthew McConaughey, Bill Paxton, Harvey Keitel, Jon Bon Jovi",21 Apr 2000,http://ia.media-imdb.com/images/M/MV5BNDcwNzY1NTI5NF5BMl5BanBnXkFtZTgwNTI0OTgzMTE@._V1_SX300.jpg,"English, German",tt0141926,,"64,343","France, USA","Jonathan Mostow (story, Jonathan Mostow (screenplay, Sam Montgomery (screenplay, David Ayer (screenplay)",6.6,"Action, War",Won 1 Oscar. Another 2 wins & 10 nominations.,PG-13,116 min,U-571,62,Jonathan Mostow,movie,True
5706098371a0651ac0e5141c,"Elizabeth Daily, Tara Strong, Cheryl Chase, Christine Cavanaugh",17 Nov 2000,"http://ia.media-imdb.com/images/M/MV5BMjE0NjQ2NjMzNV5BMl5BanBnXkFtZTYwMzIzODQ5._V1._CR2,26,285,448_SX89_AL_.jpg_V1_SX300.jpg",English,tt0213203,,"7,804","Germany, USA","J. David Stem, David N. Weiss, Jill Gorey, Barbara Herndon, Kate Boutilier, Peter Chung (characters, Gabor Csupo (characters, Paul Germain, Arlene Klasky (characters)",6.1,"Animation, Adventure, Comedy",2 wins & 7 nominations.,G,78 min,Rugrats in Paris: The Movie,62,"Stig Bergqvist, Paul Demeyer",movie,True
5706098371a0651ac0e5141d,"Nicolas Cage, Téa Leoni, Don Cheadle, Jeremy Piven",22 Dec 2000,http://ia.media-imdb.com/images/M/MV5BMTI2Mjc0MDYyOV5BMl5BanBnXkFtZTcwMzA5MDQyMQ@@._V1_SX300.jpg,"English, Italian",tt0218967,,"84,536",USA,"David Diamond, David Weissman",6.7,"Comedy, Drama, Fantasy",4 wins & 6 nominations.,PG-13,125 min,The Family Man,42,Brett Ratner,movie,True
5706098371a0651ac0e5141e,"Elisabeth Shue, Kevin Bacon, Josh Brolin, Kim Dickens",04 Aug 2000,http://ia.media-imdb.com/images/M/MV5BMTE5OTQ3MTI2M15BMl5BanBnXkFtZTYwMTM0Mjc3._V1_SX300.jpg,English,tt0164052,,"99,697","USA, Germany","Gary Scott Thompson (story, Andrew W. Marlowe (story, Andrew W. Marlowe (screenplay)",5.7,"Horror, Sci-Fi",Nominated for 1 Oscar. Another 7 wins & 9 nominations.,R,112 min,Hollow Man,24,Paul Verhoeven,movie,True
5706098371a0651ac0e5141f,"Alfred Molina, Carrie-Anne Moss, Aurelien Parent Koenig, Antonio Gil",19 Jan 2001,http://ia.media-imdb.com/images/M/MV5BMjA4MDI3NTQwMV5BMl5BanBnXkFtZTcwNjIzNDcyMQ@@._V1_SX300.jpg,"English, French",tt0241303,,"147,092","UK, USA","Joanne Harris (novel, Robert Nelson Jacobs (screenplay)",7.3,"Drama, Romance",Nominated for 5 Oscars. Another 7 wins & 30 nominations.,PG-13,121 min,Chocolat,64,Lasse Hallström,movie,True
5706098371a0651ac0e51420,"Samuel L. Jackson, Vanessa Williams, Jeffrey Wright, Christian Bale",16 Jun 2000,http://ia.media-imdb.com/images/M/MV5BMTMzNzcyNjE3MV5BMl5BanBnXkFtZTcwNjY1NzQyMQ@@._V1_SX300.jpg,"English, German, Spanish",tt0162650,,"57,361","Germany, USA","Ernest Tidyman (novel, John Singleton (story, Shane Salerno (story, Richard Price (screenplay, John Singleton (screenplay, Shane Salerno (screenplay)",5.9,"Action, Crime, Thriller",1 win & 13 nominations.,R,99 min,Shaft,50,John Singleton,movie,True
5706098371a0651ac0e51421,"Chris O'Donnell, Robin Tunney, Stuart Wilson, Augie Davis",08 Dec 2000,http://ia.media-imdb.com/images/M/MV5BMTIzODIxNjY4NF5BMl5BanBnXkFtZTYwMjE2NDg2._V1_SX300.jpg,"English, Urdu",tt0190865,,"48,573","USA, Germany","Robert King (story, Robert King (screenplay, Terry Hayes (screenplay)",5.9,"Action, Adventure, Drama",Nominated for 1 BAFTA Film Award. Another 2 wins & 3 nominations.,PG-13,124 min,Vertical Limit,48,Martin Campbell,movie,True
5706098371a0651ac0e51422,"Breckin Meyer, Seann William Scott, Amy Smart, Paulo Costanzo",19 May 2000,http://ia.media-imdb.com/images/M/MV5BMTQxMTA3OTg3OV5BMl5BanBnXkFtZTcwNTk0MzUyMQ@@._V1_SX300.jpg,English,tt0215129,,"130,030",USA,"Todd Phillips, Scot Armstrong",6.5,Comedy,2 wins & 9 nominations.,R,93 min,Road Trip,55,Todd Phillips,movie,True
5706098371a0651ac0e51423,"Kirsten Dunst, Eliza Dushku, Jesse Bradford, Gabrielle Union",25 Aug 2000,http://ia.media-imdb.com/images/M/MV5BMzY5NTA3Mjg1OV5BMl5BanBnXkFtZTgwMDI5MDgxMTE@._V1_SX300.jpg,English,tt0204946,,"67,908",USA,Jessica Bendinger,5.9,"Comedy, Sport",2 wins & 7 nominations.,PG-13,98 min,Bring It On,52,Peyton Reed,movie,True
5706098371a0651ac0e51424,"Glenn Close, Gérard Depardieu, Ioan Gruffudd, Alice Evans",22 Nov 2000,http://ia.media-imdb.com/images/M/MV5BMTY1NjMwMDkxMF5BMl5BanBnXkFtZTYwOTY1NTc3._V1_SX300.jpg,English,tt0211181,,"25,649","USA, UK","Dodie Smith (novel, Kristen Buckley (story, Brian Regan (story, Kristen Buckley (screenplay, Brian Regan (screenplay, Bob Tzudiker (screenplay, Noni White (screenplay)",4.8,"Adventure, Comedy, Family",Nominated for 1 Oscar. Another 1 win & 2 nominations.,G,100 min,102 Dalmatians,35,Kevin Lima,movie,True
5706098371a0651ac0e51425,"Tommy Lee Jones, Samuel L. Jackson, Guy Pearce, Ben Kingsley",07 Apr 2000,http://ia.media-imdb.com/images/M/MV5BMTcyOTQ1MjQwM15BMl5BanBnXkFtZTYwNjE1MDI5._V1_SX300.jpg,"English, Arabic",tt0160797,,"36,865","UK, Germany, Canada, USA","Jim Webb (story, Stephen Gaghan (screenplay)",6.4,"Drama, Thriller, War",1 win & 2 nominations.,R,128 min,Rules of Engagement,45,William Friedkin,movie,True
5706098371a0651ac0e51426,"Jennifer Lopez, Colton James, Dylan Baker, Marianne Jean-Baptiste",18 Aug 2000,http://ia.media-imdb.com/images/M/MV5BMTQ3MzM4Mzc1NV5BMl5BanBnXkFtZTgwMjIxNzQxMTE@._V1_SX300.jpg,English,tt0209958,,"78,283","USA, Germany",Mark Protosevich,6.3,"Horror, Sci-Fi, Thriller",Nominated for 1 Oscar. Another 6 wins & 23 nominations.,R,107 min,The Cell,40,Tarsem Singh,movie,True
5706098371a0651ac0e51427,"Gary Sinise, Tim Robbins, Don Cheadle, Connie Nielsen",10 Mar 2000,http://ia.media-imdb.com/images/M/MV5BMTIyODE4NjI2Nl5BMl5BanBnXkFtZTcwODg4MjMyMQ@@._V1_SX300.jpg,English,tt0183523,"60,874,615","59,529",USA,"Lowell Cannon (story, Jim Thomas (story, John Thomas (story, Jim Thomas (screenplay, John Thomas (screenplay, Graham Yost (screenplay)",5.6,"Adventure, Sci-Fi, Thriller",1 nomination.,PG,114 min,Mission to Mars,34,Brian De Palma,movie,True
5706098371a0651ac0e51428,"Piper Perabo, Adam Garcia, John Goodman, Maria Bello",04 Aug 2000,http://ia.media-imdb.com/images/M/MV5BMTk1NzM1ODg4OF5BMl5BanBnXkFtZTcwMTQ3OTgyMQ@@._V1_SX300.jpg,English,tt0200550,,"89,048",USA,Gina Wendkos,5.6,"Comedy, Drama, Music",4 wins & 4 nominations.,PG-13,100 min,Coyote Ugly,27,David McNally,movie,True
5706098371a0651ac0e51429,"Chris Elliott, Mark Webber, Jean Smart, Schuyler Fisk",11 Feb 2000,http://ia.media-imdb.com/images/M/MV5BMTI0ODQyODEwMF5BMl5BanBnXkFtZTcwNDI1MzcxMQ@@._V1_SX300.jpg,English,tt0184907,,"9,113",USA,"Will McRobb, Chris Viscardi",4.9,"Adventure, Comedy, Family",4 nominations.,PG,89 min,Snow Day,34,Chris Koch,movie,True
5706098371a0651ac0e5142a,"Ice Cube, Mike Epps, Justin Pierce, John Witherspoon",12 Jan 2000,http://ia.media-imdb.com/images/M/MV5BMTc2NzU0NTM0M15BMl5BanBnXkFtZTcwMDI0OTEyMQ@@._V1_SX300.jpg,English,tt0195945,"57,176,582","26,400",USA,"Ice Cube (characters, DJ Pooh (characters, Ice Cube",6.1,Comedy,1 nomination.,R,98 min,Next Friday,41,Steve Carr,movie,True
5706098371a0651ac0e5142b,"Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan",18 Feb 2000,http://ia.media-imdb.com/images/M/MV5BMjA4Nzk4NzU4MF5BMl5BanBnXkFtZTYwNzU0MDc3._V1_SX300.jpg,"English, French, Spanish",tt0190138,,"88,517",USA,Mitchell Kapner,6.7,"Comedy, Crime",4 nominations.,R,98 min,The Whole Nine Yards,47,Jonathan Lynn,movie,True
5706098371a0651ac0e5142c,"Jackie Chan, Owen Wilson, Lucy Liu, Brandon Merrill",26 May 2000,http://ia.media-imdb.com/images/M/MV5BMTI0MjE2MzUwOV5BMl5BanBnXkFtZTYwMTk5NjU3._V1_SX300.jpg,"English, Mandarin, Sioux, Spanish",tt0184894,,"93,958","USA, Hong Kong","Miles Millar, Alfred Gough",6.6,"Action, Adventure, Comedy",1 win & 7 nominations.,PG-13,110 min,Shanghai Noon,77,Tom Dey,movie,True
5706098371a0651ac0e5142d,"Jet Li, Aaliyah, Isaiah Washington, Russell Wong",22 Mar 2000,http://ia.media-imdb.com/images/M/MV5BMTI5Nzg1MjA5M15BMl5BanBnXkFtZTYwNzAxNzg2._V1_SX300.jpg,"English, Chinese",tt0165929,,"55,965",USA,"Mitchell Kapner (story, Eric Bernt (screenplay, John Jarrell (screenplay)",6.1,"Action, Crime, Thriller",1 win & 7 nominations.,R,115 min,Romeo Must Die,52,Andrzej Bartkowiak,movie,True
5706098371a0651ac0e5142e,"Devon Sawa, Ali Larter, Kerr Smith, Kristen Cloke",17 Mar 2000,http://ia.media-imdb.com/images/M/MV5BMTU4OTI4OTI4OF5BMl5BanBnXkFtZTgwMDA1MzkyMTE@._V1_SX300.jpg,"English, French",tt0195714,,"175,044","USA, Canada","Glen Morgan (screenplay, James Wong (screenplay, Jeffrey Reddick (screenplay, Jeffrey Reddick (story)",6.7,"Fantasy, Horror, Thriller",3 wins & 3 nominations.,R,98 min,Final Destination,36,James Wong,movie,True
5706098371a0651ac0e5142f,"Sean Connery, Rob Brown, F. Murray Abraham, Anna Paquin",12 Jan 2001,http://ia.media-imdb.com/images/M/MV5BMTk5MjQ4MjcyOF5BMl5BanBnXkFtZTYwNTMzODg2._V1_SX300.jpg,"English, German",tt0181536,,"71,781",USA,Mike Rich,7.3,Drama,5 wins & 13 nominations.,PG-13,136 min,Finding Forrester,62,Gus Van Sant,movie,True
5706098371a0651ac0e51430,"Kevin Kline, Kenneth Branagh, Rosie Perez, Armand Assante",31 Mar 2000,http://ia.media-imdb.com/images/M/MV5BMTk5OTk0MjY5MV5BMl5BanBnXkFtZTcwMTY2NzkxMQ@@._V1_SX300.jpg,English,tt0138749,,"54,769",USA,"Terry Rossio (screenplay, Ted Elliott (screenplay, Karey Kirkpatrick (additional dialogue)",6.9,"Animation, Adventure, Comedy",1 win & 12 nominations.,PG,89 min,The Road to El Dorado,51,"Bibo Bergeron, Don Paul, Jeffrey Katzenberg",movie,True
5706098371a0651ac0e51431,"Robert De Niro, Cuba Gooding Jr., Charlize Theron, Aunjanue Ellis",10 Nov 2000,http://ia.media-imdb.com/images/M/MV5BMTc1Njk1NTE3NF5BMl5BanBnXkFtZTgwNjAyMzcxMTE@._V1_SX300.jpg,English,tt0203019,,"87,374",USA,Scott Marshall Smith,7.2,"Biography, Drama",11 nominations.,R,129 min,Men of Honor,56,George Tillman Jr.,movie,True
5706098371a0651ac0e51432,"Ashton Kutcher, Seann William Scott, Jennifer Garner, Marla Sokoloff",15 Dec 2000,http://ia.media-imdb.com/images/M/MV5BMTg4ODcxOTgyOV5BMl5BanBnXkFtZTcwODI0NTI1MQ@@._V1_SX300.jpg,"English, Japanese, French",tt0242423,,"114,349",USA,Philip Stark,5.5,"Comedy, Mystery",5 nominations.,PG-13,83 min,"Dude, Where's My Car?",30,Danny Leiner,movie,True
5706098371a0651ac0e51433,"Jim Cummings, Nikita Hopkins, Ken Sansom, John Fiedler",11 Feb 2000,http://ia.media-imdb.com/images/M/MV5BMTY2NzE3MzE5NV5BMl5BanBnXkFtZTcwNzkxMjgxMQ@@._V1_SX300.jpg,English,tt0220099,"45,542,421","12,932","USA, Japan","A.A. Milne (characters, Eddie Guzelian (story, Jun Falkenstein (screenplay)",6.3,"Animation, Comedy, Drama",5 nominations.,G,77 min,The Tigger Movie,53,"Jun Falkenstein, Chris Butler",movie,True
5706098371a0651ac0e51434,"George Clooney, John Turturro, Tim Blake Nelson, John Goodman",02 Feb 2001,http://ia.media-imdb.com/images/M/MV5BMTI3MTEwMTAzMF5BMl5BanBnXkFtZTYwMTMxNTI5._V1_SX300.jpg,English,tt0190590,"45,506,619","218,652","UK, France, USA",Homer (epic poem \,7.8,"Adventure, Comedy, Crime",Nominated for 2 Oscars. Another 7 wins & 35 nominations.,PG-13,106 min,"O Brother, Where Art Thou?",69,"Joel Coen, Ethan Coen",movie,True
5706098371a0651ac0e51435,"Dennis Quaid, Jim Caviezel, Shawn Doyle, Elizabeth Mitchell",28 Apr 2000,http://ia.media-imdb.com/images/M/MV5BMTI4NTgyOTIxN15BMl5BanBnXkFtZTYwMTUwODY3._V1_SX300.jpg,English,tt0186151,,"79,523",USA,Toby Emmerich,7.3,"Drama, Fantasy, Sci-Fi",Nominated for 1 Golden Globe. Another 2 wins & 7 nominations.,PG-13,118 min,Frequency,67,Gregory Hoblit,movie,True
5706098371a0651ac0e51436,"Keanu Reeves, Gene Hackman, Brooke Langton, Orlando Jones",11 Aug 2000,http://ia.media-imdb.com/images/M/MV5BMTQyMDQwMDgwNl5BMl5BanBnXkFtZTgwOTU5ODA5MjE@._V1_SX300.jpg,"English, American Sign Language",tt0191397,,"46,868",USA,Vince McKewin,6.5,"Comedy, Sport",N/A,PG-13,118 min,The Replacements,30,Howard Deutch,movie,True
