_id,Director,Awards,imdbID,Language,Released,Genre,Type,Runtime,Title,Poster,Box_office,Rated,Country,Writer,Actors,Response,imdbVotes,Metascore,imdbRating
56fbc70971a06513e44230c2,Richard Donner,Nominated for 1 Oscar. Another 1 win.,tt0110478,English,20 May 1994,"Action, Adventure, Comedy",movie,127 min,Maverick,http://ia.media-imdb.com/images/M/MV5BMTE5OTQzMzU3Nl5BMl5BanBnXkFtZTcwNTA3MTMyMQ@@._V1_SX300.jpg,,PG,USA,"Roy Huggins (television series Maverick, William Goldman","Mel Gibson, Jodie Foster, James Garner, Graham Greene",True,"80,626",N/A,7.0
56fbc70971a06513e44230c3,Joel Schumacher,Nominated for 1 Oscar. Another 3 wins & 3 nominations.,tt0109446,English,20 Jul 1994,"Crime, Drama, Mystery",movie,119 min,The Client,http://ia.media-imdb.com/images/M/MV5BMTI4NjM0NzQxOV5BMl5BanBnXkFtZTcwMTQ4MDEzMQ@@._V1_SX300.jpg,,PG-13,USA,"John Grisham (novel, Akiva Goldsman (screenplay, Robert Getchell (screenplay)","Susan Sarandon, Tommy Lee Jones, Mary-Louise Parker, Anthony LaPaglia",True,"44,388",65,6.7
56fbc70971a06513e44230c4,Barry Levinson,2 wins & 2 nominations.,tt0109635,English,09 Dec 1994,"Drama, Thriller",movie,128 min,Disclosure,http://ia.media-imdb.com/images/M/MV5BMTM2MTU3NTY1OF5BMl5BanBnXkFtZTcwMjQ3OTYxMQ@@._V1_SX300.jpg,,R,USA,"Michael Crichton (novel, Paul Attanasio (screenplay)","Michael Douglas, Demi Moore, Donald Sutherland, Caroline Goodall",True,"35,512",58,6.0
56fbc70971a06513e44230c5,David Carson,2 wins & 4 nominations.,tt0111280,"English, Klingon",18 Nov 1994,"Action, Adventure, Mystery",movie,118 min,Star Trek: Generations,http://ia.media-imdb.com/images/M/MV5BOTMyODkyODk1MV5BMl5BanBnXkFtZTcwNjk5MzI4OA@@._V1_SX300.jpg,,PG,USA,"Gene Roddenberry (television series Star Trek, Rick Berman (story, Ronald D. Moore (story, Brannon Braga (story, Ronald D. Moore (screenplay, Brannon Braga (screenplay)","Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton",True,"58,600",55,6.6
56fbc70971a06513e44230c6,Tom Shadyac,5 wins & 4 nominations.,tt0109040,English,04 Feb 1994,Comedy,movie,86 min,Ace Ventura: Pet Detective,http://ia.media-imdb.com/images/M/MV5BMjAzNTI0ODUxOF5BMl5BanBnXkFtZTgwNTQxNzQxMTE@._V1_SX300.jpg,,PG-13,USA,"Jack Bernstein (story, Jack Bernstein (screenplay, Tom Shadyac (screenplay, Jim Carrey (screenplay)","Jim Carrey, Courteney Cox, Sean Young, Tone Loc",True,"209,398",37,6.9
56fbc70971a06513e44230c7,Roland Emmerich,6 wins & 5 nominations.,tt0111282,"English, Norwegian, Swedish",28 Oct 1994,"Action, Adventure, Sci-Fi",movie,121 min,Stargate,http://ia.media-imdb.com/images/M/MV5BMTk4ODQ1MTk5M15BMl5BanBnXkFtZTgwMjA2Mzk5MDE@._V1_SX300.jpg,"71,565,669",PG-13,"France, USA","Dean Devlin, Roland Emmerich","Kurt Russell, James Spader, Jaye Davidson, Viveca Lindfors",True,"145,825",42,7.0
56fbc70971a06513e44230c8,Edward Zwick,Won 1 Oscar. Another 1 win & 8 nominations.,tt0110322,"English, Cornish",13 Jan 1995,"Drama, Romance, War",movie,133 min,Legends of the Fall,http://ia.media-imdb.com/images/M/MV5BMTYwMjYxNTAyN15BMl5BanBnXkFtZTgwMTc3MjkyMTE@._V1_SX300.jpg,,R,USA,"Susan Shilliday (screenplay, William D. Wittliff (screenplay, Jim Harrison (novel)","Brad Pitt, Anthony Hopkins, Aidan Quinn, Julia Ormond",True,"108,887",45,7.5
56fbc70971a06513e44230c9,Mike Nichols,2 wins & 7 nominations.,tt0111742,"English, Spanish",17 Jun 1994,"Drama, Horror, Romance",movie,125 min,Wolf,http://ia.media-imdb.com/images/M/MV5BMjIwMTgwNzU2N15BMl5BanBnXkFtZTgwMjEyNjQxMTE@._V1_SX300.jpg,,R,USA,"Jim Harrison, Wesley Strick","Jack Nicholson, Michelle Pfeiffer, James Spader, Kate Nelligan",True,"42,703",N/A,6.2
56fbc70971a06513e44230ca,Luis Llosa,4 wins & 7 nominations.,tt0111255,English,07 Oct 1994,"Action, Crime, Drama",movie,110 min,The Specialist,http://ia.media-imdb.com/images/M/MV5BMTA5ODg3NTMzODZeQTJeQWpwZ15BbWU2MDA5MDg2OA@@._V1_SX300.jpg,,R,"Peru, USA","John Shirley (Specialist novels, Alexandra Seros","Sylvester Stallone, Sharon Stone, James Woods, Rod Steiger",True,"48,415",N/A,5.4
56fbc70971a06513e44230cb,Mike Newell,Nominated for 2 Oscars. Another 23 wins & 20 nominations.,tt0109831,"English, British Sign Language",15 Apr 1994,"Comedy, Drama, Romance",movie,117 min,Four Weddings and a Funeral,http://ia.media-imdb.com/images/M/MV5BMTMyNzg2NzgxNV5BMl5BanBnXkFtZTcwMTcxNzczNA@@._V1_SX300.jpg,"52,700,832",R,UK,Richard Curtis,"Hugh Grant, James Fleet, Simon Callow, John Hannah",True,"105,572",81,7.1
56fbc70971a06513e44230cc,Penelope Spheeris,2 wins.,tt0110366,English,05 Aug 1994,"Comedy, Family, Romance",movie,82 min,The Little Rascals,http://ia.media-imdb.com/images/M/MV5BMTQ0NjUzMTcyNV5BMl5BanBnXkFtZTcwOTY5MzEyMQ@@._V1_SX300.jpg,,PG,USA,"Penelope Spheeris (story, Robert Wolterstorff (story, Mike Scott (story, Paul Guay (story, Stephen Mazur (story, Paul Guay (screenplay, Stephen Mazur (screenplay, Penelope Spheeris (screenplay)","Travis Tedford, Kevin Jamal Woods, Jordan Warkol, Zachary Mabry",True,"32,847",N/A,6.3
56fbc70971a06513e44230cd,Alex Proyas,3 wins & 6 nominations.,tt0109506,English,13 May 1994,"Action, Drama, Fantasy",movie,102 min,The Crow,http://ia.media-imdb.com/images/M/MV5BMTUxMzA1ODI3NF5BMl5BanBnXkFtZTgwNTg3NjQxMTE@._V1_SX300.jpg,,R,USA,"James O'Barr (comic book series and comic strip, David J. Schow (screenplay, John Shirley (screenplay)","Brandon Lee, Rochelle Davis, Ernie Hudson, Michael Wincott",True,"132,827",71,7.6
56fbc70971a06513e44230ce,Oliver Stone,Nominated for 1 Golden Globe. Another 3 wins & 7 nominations.,tt0110632,"English, Navajo, Japanese",26 Aug 1994,"Crime, Drama",movie,118 min,Natural Born Killers,http://ia.media-imdb.com/images/M/MV5BMTI2NTU2Nzc0MV5BMl5BanBnXkFtZTcwMzY1OTM2MQ@@._V1_SX300.jpg,,R,USA,"Quentin Tarantino (story, David Veloz (screenplay, Richard Rutowski (screenplay, Oliver Stone (screenplay)","Woody Harrelson, Juliette Lewis, Tom Sizemore, Rodney Dangerfield",True,"167,987",74,7.3
56fbc70971a06513e44230cf,Luis Mandoki,4 nominations.,tt0111693,"English, Vietnamese",13 May 1994,"Drama, Romance",movie,126 min,When a Man Loves a Woman,http://ia.media-imdb.com/images/M/MV5BMTU0NzIyMzQyMV5BMl5BanBnXkFtZTcwNzExNTIyMQ@@._V1_SX300.jpg,,R,USA,"Ronald Bass, Al Franken","Andy Garcia, Meg Ryan, Ellen Burstyn, Tina Majorino",True,"16,382",N/A,6.5
56fbc70971a06513e44230d0,Curtis Hanson,Nominated for 2 Golden Globes. Another 2 nominations.,tt0110997,"English, American Sign Language",30 Sep 1994,"Action, Adventure, Crime",movie,111 min,The River Wild,http://ia.media-imdb.com/images/M/MV5BMTgzNzA1NTk4N15BMl5BanBnXkFtZTcwNTI2MzkxMQ@@._V1_SX300.jpg,,PG-13,USA,Denis O'Neill,"Meryl Streep, Joseph Mazzello, Stephanie Sawyer, David Strathairn",True,"31,745",N/A,6.3
56fbc70971a06513e44230d1,Sam Weisman,N/A,tt0109520,"English, Icelandic",25 Mar 1994,"Comedy, Drama, Family",movie,106 min,D2: The Mighty Ducks,http://ia.media-imdb.com/images/M/MV5BMTIzMjI1MjQ0NV5BMl5BanBnXkFtZTcwMDU1MDcyMQ@@._V1_SX300.jpg,"45,610,410",PG,USA,"Steven Brill (characters, Steven Brill","Emilio Estevez, Kathryn Erbe, Michael Tucker, Jan Rubes",True,"26,990",N/A,5.9
56fbc70971a06513e44230d2,Peter Hyams,1 win & 4 nominations.,tt0111438,English,16 Sep 1994,"Action, Crime, Sci-Fi",movie,99 min,Timecop,http://ia.media-imdb.com/images/M/MV5BMTM2OTg2MDY5M15BMl5BanBnXkFtZTcwNTIwOTM4OA@@._V1_SX300.jpg,,R,"Canada, USA, Japan","Mark Verheiden (screenplay, Mike Richardson (story, Mark Verheiden (story, Mike Richardson (comic series, Mark Verheiden (comic series)","Jean-Claude Van Damme, Mia Sara, Ron Silver, Bruce McGill",True,"43,377",48,5.8
56fbc70971a06513e44230d3,Paul Weiland,2 nominations.,tt0109439,English,10 Jun 1994,"Comedy, Western",movie,116 min,City Slickers II: The Legend of Curly's Gold,http://ia.media-imdb.com/images/M/MV5BMTY4MzE1MjA3Nl5BMl5BanBnXkFtZTcwMTU4MDcxMQ@@._V1_SX300.jpg,"43,522,360",PG-13,USA,"Lowell Ganz (characters, Babaloo Mandel (characters, Billy Crystal, Lowell Ganz, Babaloo Mandel","Billy Crystal, Daniel Stern, Jon Lovitz, Jack Palance",True,"14,730",N/A,5.4
56fbc70971a06513e44230d4,John Landis,3 nominations.,tt0109254,English,25 May 1994,"Action, Comedy, Crime",movie,104 min,Beverly Hills Cop III,http://ia.media-imdb.com/images/M/MV5BMTg1MTY5NzQ3MF5BMl5BanBnXkFtZTYwODE1Mzg4._V1_SX300.jpg,,R,USA,"Danilo Bach (character, Daniel Petrie Jr. (character, Steven E. de Souza","Eddie Murphy, Jon Tenney, Joey Travolta, Eugene Collier",True,"58,539",16,5.5
56fbc70971a06513e44230d5,Robert Benton,Nominated for 2 Oscars. Another 5 wins & 6 nominations.,tt0110684,English,13 Jan 1995,"Comedy, Drama",movie,110 min,Nobody's Fool,http://ia.media-imdb.com/images/M/MV5BMjM1MTA0Mjc4Ml5BMl5BanBnXkFtZTgwNDUxNjcxMTE@._V1_SX300.jpg,"39,487,686",R,USA,"Richard Russo (novel, Robert Benton (screenplay)","Paul Newman, Jessica Tandy, Bruce Willis, Melanie Griffith",True,"14,777",N/A,7.4
56fbc70971a06513e44230d6,Ron Howard,N/A,tt0110771,English,25 Mar 1994,"Comedy, Drama",movie,112 min,The Paper,http://ia.media-imdb.com/images/M/MV5BODE5NjI3NjM3N15BMl5BanBnXkFtZTcwNzYwMTgyMQ@@._V1_SX300.jpg,,R,USA,"David Koepp, Stephen Koepp","Michael Keaton, Robert Duvall, Glenn Close, Marisa Tomei",True,"10,275",N/A,6.6
56fbc70971a06513e44230d7,Steven Seagal,1 win & 6 nominations.,tt0110725,"English, Inuktitut",18 Feb 1994,"Action, Adventure, Thriller",movie,101 min,On Deadly Ground,http://ia.media-imdb.com/images/M/MV5BMTk0NjU3ODg3M15BMl5BanBnXkFtZTcwNzc3MTkxMQ@@._V1_SX300.jpg,"38,590,500",R,USA,"Ed Horowitz, Robin U. Russin","Steven Seagal, Michael Caine, Joan Chen, John C. McGinley",True,"17,430",N/A,4.3
56fbc70971a06513e44230d8,Andrew Bergman,N/A,tt0110167,English,29 Jul 1994,"Comedy, Drama, Romance",movie,101 min,It Could Happen to You,http://ia.media-imdb.com/images/M/MV5BMTM4NzUyMjMwMF5BMl5BanBnXkFtZTYwODEwMzc5._V1_SX300.jpg,,PG,USA,Jane Anderson,"Nicolas Cage, Bridget Fonda, Rosie Perez, Wendell Pierce",True,"27,177",N/A,6.3
56fbc70971a06513e44230d9,Ivan Reitman,Nominated for 1 Oscar. Another 3 nominations.,tt0110216,English,23 Nov 1994,"Comedy, Romance, Sci-Fi",movie,109 min,Junior,http://ia.media-imdb.com/images/M/MV5BMTYwNjA3MTUxMl5BMl5BanBnXkFtZTcwMDk2MjAyMQ@@._V1_SX300.jpg,,PG-13,USA,"Kevin Wade, Chris Conrad","Arnold Schwarzenegger, Danny DeVito, Emma Thompson, Frank Langella",True,"52,386",N/A,4.5
56fbc70971a06513e44230da,Michael Apted,Nominated for 1 Oscar. Another 5 wins & 5 nominations.,tt0110638,English,23 Dec 1994,Drama,movie,112 min,Nell,http://ia.media-imdb.com/images/M/MV5BNTM2MDQ0NTQ2OF5BMl5BanBnXkFtZTcwNjI2OTQyMQ@@._V1_SX300.jpg,,PG-13,USA,"Mark Handley (play, William Nicholson (screenplay, Mark Handley (screenplay)","Jodie Foster, Liam Neeson, Natasha Richardson, Richard Libertini",True,"22,137",N/A,6.5
56fbc70971a06513e44230db,Steven E. de Souza,2 nominations.,tt0111301,"English, Japanese, Esperanto",23 Dec 1994,"Action, Adventure, Comedy",movie,102 min,Street Fighter,http://ia.media-imdb.com/images/M/MV5BMjE2ODY0NDMyOV5BMl5BanBnXkFtZTcwNDQ4NDAzMQ@@._V1_SX300.jpg,,PG-13,"Japan, USA",Steven E. de Souza,"Jean-Claude Van Damme, Raul Julia, Ming-Na Wen, Damian Chapa",True,"51,959",N/A,3.8
56fbc70971a06513e44230dc,Russell Mulcahy,4 nominations.,tt0111143,English,01 Jul 1994,"Action, Adventure, Crime",movie,108 min,The Shadow,http://ia.media-imdb.com/images/M/MV5BMjE0NTY0NDE4N15BMl5BanBnXkFtZTcwMjE0MjAwMQ@@._V1_SX300.jpg,"32,055,248",PG-13,USA,"Walter B. Gibson (character The Shadow from stories, David Koepp","Alec Baldwin, John Lone, Penelope Ann Miller, Peter Boyle",True,"18,134",N/A,6.0
56fbc70971a06513e44230dd,Charles Shyer,N/A,tt0110093,English,29 Jun 1994,"Action, Comedy, Romance",movie,123 min,I Love Trouble,http://ia.media-imdb.com/images/M/MV5BMTI4MTIxODc0OF5BMl5BanBnXkFtZTcwMjY3OTEyMQ@@._V1_SX300.jpg,,PG,USA,"Nancy Meyers, Charles Shyer","Nick Nolte, Julia Roberts, Saul Rubinek, James Rebhorn",True,"9,477",N/A,5.2
56fbc70971a06513e44230de,David S. Ward,1 win & 1 nomination.,tt0110442,English,30 Mar 1994,"Comedy, Sport",movie,105 min,Major League II,http://ia.media-imdb.com/images/M/MV5BMTk4OTkwODY1N15BMl5BanBnXkFtZTcwOTUxNDcxMQ@@._V1_SX300.jpg,"30,626,182",PG,USA,"David S. Ward (characters, R.J. Stewart (story, Tom S. Parker (story, Jim Jennewein (story, R.J. Stewart (screenplay)","Charlie Sheen, Tom Berenger, Corbin Bernsen, Dennis Haysbert",True,"19,928",N/A,5.5
56fbc70971a06513e44230df,Rupert Wainwright,N/A,tt0109287,English,11 Feb 1994,"Comedy, Family",movie,93 min,Blank Check,http://ia.media-imdb.com/images/M/MV5BMjE2MzE2NjkzNF5BMl5BanBnXkFtZTcwODM1MjgyMQ@@._V1_SX300.jpg,"30,577,969",PG,USA,"Blake Snyder, Colby Carr","Brian Bonsall, Karen Duffy, James Rebhorn, Jayne Atkinson",True,"13,456",N/A,5.1
56fbc70971a06513e44230e0,Stephen Hopkins,2 nominations.,tt0109303,"English, Irish",01 Jul 1994,"Action, Crime, Drama",movie,121 min,Blown Away,http://ia.media-imdb.com/images/M/MV5BMTUxMzU1Njg4NF5BMl5BanBnXkFtZTcwODg1MzQyMQ@@._V1_SX300.jpg,,R,USA,"John Rice (story, Joe Batteer (story, Jay Roach (story, Joe Batteer (screenplay, John Rice (screenplay)","Jeff Bridges, Tommy Lee Jones, Suzy Amis, Lloyd Bridges",True,"22,625",N/A,6.2
56fbc70971a06513e44230e1,Keenen Ivory Wayans,1 nomination.,tt0110399,English,23 Nov 1994,"Action, Comedy, Crime",movie,100 min,A Low Down Dirty Shame,http://ia.media-imdb.com/images/M/MV5BMTk4Mzk0NDU2OF5BMl5BanBnXkFtZTcwODM5NjUyMQ@@._V1_SX300.jpg,"29,392,418",R,USA,Keenen Ivory Wayans,"Keenen Ivory Wayans, Charles S. Dutton, Jada Pinkett Smith, Salli Richardson-Whitfield",True,"3,817",N/A,5.8
56fbc70971a06513e44230e2,Daniel Petrie Jr.,N/A,tt0110123,English,12 Aug 1994,"Comedy, War",movie,91 min,In the Army Now,http://ia.media-imdb.com/images/M/MV5BMTkzNTcxNjcxM15BMl5BanBnXkFtZTcwMzU4NjQyMQ@@._V1_SX300.jpg,"28,864,707",PG,USA,"Steve Zacharias (story, Jeff Buhai (story, Robbie Fox (story, Ken Kaufman (screenplay, Stu Krieger (screenplay, Daniel Petrie Jr. (screenplay, Fax Bahr (screenplay, Adam Small (screenplay)","Pauly Shore, Andy Dick, Lori Petty, David Alan Grier",True,"9,634",N/A,4.7
56fbc70971a06513e44230e3,John Badham,N/A,tt0109676,English,09 Dec 1994,"Action, Adventure, Thriller",movie,101 min,Drop Zone,http://ia.media-imdb.com/images/M/MV5BMjA4NDU1NjQwOV5BMl5BanBnXkFtZTcwNDA4NDIyMQ@@._V1_SX300.jpg,,R,USA,"Tony Griffin (story, Guy Manos (story, Peter Barsocchini (story, Peter Barsocchini (screenplay, John Bishop (screenplay)","Wesley Snipes, Gary Busey, Yancy Butler, Michael Jeter",True,"15,425",N/A,5.6
56fbc70971a06513e44230e4,Frank Darabont,Nominated for 7 Oscars. Another 14 wins & 21 nominations.,tt0111161,English,14 Oct 1994,"Crime, Drama",movie,142 min,The Shawshank Redemption,http://ia.media-imdb.com/images/M/MV5BODU4MjU4NjIwNl5BMl5BanBnXkFtZTgwMDU2MjEyMDE@._V1_SX300.jpg,,R,USA,Stephen King (short story \,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",True,"1,626,900",80,9.3
56fbc70971a06513e44230e5,Hugh Wilson,N/A,tt0109951,English,11 Mar 1994,"Comedy, Drama",movie,96 min,Guarding Tess,http://ia.media-imdb.com/images/M/MV5BMTc4MDgzNjQwNF5BMl5BanBnXkFtZTcwMjA2MDcxMQ@@._V1_SX300.jpg,"27,053,498",PG-13,USA,"Hugh Wilson, Pj Torokvei","Shirley MacLaine, Nicolas Cage, Austin Pendleton, Edward Albert",True,"12,387",46,6.1
56fbc70971a06513e44230e6,Fred Schepisi,N/A,tt0110099,"English, German",25 Dec 1994,"Comedy, Romance",movie,100 min,I.Q.,http://ia.media-imdb.com/images/M/MV5BMTIwMTc2ODg3NV5BMl5BanBnXkFtZTcwNjEyNTUxMQ@@._V1_SX300.jpg,"26,372,663",PG,USA,"Andy Breckman (story, Andy Breckman (screenplay, Michael Leeson (screenplay)","Tim Robbins, Meg Ryan, Walter Matthau, Lou Jacobi",True,"19,608",N/A,6.2
56fbc70971a06513e44230e7,Steve Miner,1 nomination.,tt0110612,"French, English",04 Feb 1994,"Comedy, Romance",movie,90 min,My Father the Hero,http://ia.media-imdb.com/images/M/MV5BMTk3OTM1MjUwMV5BMl5BanBnXkFtZTcwMTc3NjUyMQ@@._V1_SX300.jpg,,PG,"France, USA","Gérard Lauzier (screenplay, Francis Veber (screenplay, Charlie Peters (screenplay)","Gérard Depardieu, Katherine Heigl, Dalton James, Lauren Hutton",True,"8,468",N/A,5.4
56fbc70971a06513e44230e8,Lawrence Kasdan,Nominated for 1 Oscar. Another 3 wins & 4 nominations.,tt0111756,"English, Spanish",24 Jun 1994,"Adventure, Biography, Crime",movie,191 min,Wyatt Earp,http://ia.media-imdb.com/images/M/MV5BMTIxOTAzNDkyNF5BMl5BanBnXkFtZTcwMzA3NDE2MQ@@._V1_SX300.jpg,"25,052,000",PG-13,USA,"Dan Gordon, Lawrence Kasdan","Kevin Costner, Dennis Quaid, Gene Hackman, David Andrews",True,"34,332",47,6.6
56fbc70971a06513e44230e9,Robert Redford,Nominated for 4 Oscars. Another 5 wins & 24 nominations.,tt0110932,English,07 Oct 1994,"Drama, History",movie,133 min,Quiz Show,http://ia.media-imdb.com/images/M/MV5BMTc2NTU3MTY4Nl5BMl5BanBnXkFtZTcwNTc1NzkxMQ@@._V1_SX300.jpg,"24,822,619",PG-13,USA,"Paul Attanasio (screenplay, Richard N. Goodwin (book)","John Turturro, Rob Morrow, Ralph Fiennes, Paul Scofield",True,"52,522",88,7.5
56fbc70971a06513e44230ea,Penny Marshall,N/A,tt0110971,English,03 Jun 1994,"Comedy, Drama",movie,128 min,Renaissance Man,http://ia.media-imdb.com/images/M/MV5BMTI5MDI4MzM4M15BMl5BanBnXkFtZTcwMTE2MTIyMQ@@._V1_SX300.jpg,"24,332,324",PG-13,USA,Jim Burnstein,"Danny DeVito, Gregory Hines, James Remar, Ed Begley Jr.",True,"13,532",44,6.1
56fbc70971a06513e44230eb,William Friedkin,1 nomination.,tt0109305,English,18 Feb 1994,"Drama, Sport",movie,108 min,Blue Chips,http://ia.media-imdb.com/images/M/MV5BMTMwMzI3MDk0MV5BMl5BanBnXkFtZTcwMzMxMzgyMQ@@._V1_SX300.jpg,"22,355,000",PG-13,USA,Ron Shelton,"Nick Nolte, Mary McDonnell, J.T. Walsh, Ed O'Neill",True,"9,228",N/A,6.0
56fbc70971a06513e44230ec,Kenneth Branagh,Nominated for 1 Oscar. Another 12 nominations.,tt0109836,English,04 Nov 1994,"Drama, Horror, Romance",movie,123 min,Mary Shelley's Frankenstein,http://ia.media-imdb.com/images/M/MV5BMTc1MzQ5NTA3MV5BMl5BanBnXkFtZTcwMDUzNDIyMQ@@._V1_SX300.jpg,,R,"USA, Japan","Mary Shelley (novel, Steph Lady (screenplay, Frank Darabont (screenplay)","Robert De Niro, Kenneth Branagh, Tom Hulce, Helena Bonham Carter",True,"41,834",N/A,6.4
